Entity Label,RANKING
Edward Snowden,0.5555556
National Security Agency,0.3777778
Central Intelligence Agency,0.0666667
Glenn Greenwald,0.0666667
Foreign Intelligence Surveillance Court,0
Booz Allen Hamilton,-0.1333333
Laura Poitras,-0.2666667
Barton Gellman,-0.3111111
Verizon Wireless,-0.3333333
Angela Merkel,-0.3777778
Anatoly Kucherena,-0.4
Federal Migration Service,-0.4444444
US State Department,-0.4444444
Vladimir Putin,-0.4666667
Sheremetyevo International Airport,-0.4666667
Nicaragua,-0.4888889
Evo Morales,-0.4888889
Patrick Ventrell,-0.5111111
Moscow,-0.5555556
Bolivia,-0.5777778
Kremlin,-0.6
Russia,-0.6222222
Venezuela,-0.6222222
United States of America,-0.6666667
Latin America,-0.7333333
Barack Obama,-0.7555556
Jay Carney,-0.7555556
South America,-0.8
