Entity Label,RANKING
Kate Middleton Duchess of Cambridge,0.357142857
King George the VI A.K.A. Bertie,0.357142857
Prince George of Cambridge George Alexander Louis,0.285714286
Prince William Duke of Cambridge,0.285714286
King George V,0.142857143
Queen Elizabeth II,0.071428571
Earl Louis Mountbatten from Burma,-0.142857143
Prince Harry of Wales,-0.214285714
"Charles, Prince of Wales",-0.285714286
Queen Victoria,-0.285714286
Balmoral Castle,-0.285714286
"Princess Margaret, Countess of Snowdon",-0.357142857
Cambridge,-0.357142857
Queen Mary of Teck,-0.357142857
Kensington Palace,-0.428571429
The Queen Mother Elizabeth Angela Marguerite Bowes-Lyon,-0.428571429
Irish Republican Army,-0.428571429
St Mary's Hospital,-0.5
England Country,-0.5
Great Britain,-0.5
Dr. Suzannah Lipscomb,-0.571428571
King Edward VIII,-0.571428571
