Entity Label,RANKING
George Zimmerman,0.444444444
Trayvon Martin,0.407407407
National Association for the Advancement of Colored People (NAACP),-0.037037037
Rachel Jeantel,-0.185185185
General Eric Holder,-0.222222222
Rev. Lowman Oliver,-0.259259259
Mark OÍMara,-0.259259259
Sanford,-0.333333333
Angela Corey,-0.37037037
United States Department of Justice,-0.407407407
Matt Gutman,-0.555555556
Barack Obama,-0.592592593
New York,-0.666666667
Florida,-0.666666667
Los Angeles,-0.703703704
San Francisco,-0.740740741
Times Square,-0.740740741
Washington DC.,-0.814814815
United States of America,-0.851851852
