Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
Egyptians,8.25,3,129,0.7597,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Egyptians
Tahrir Square,2.3469387755102042,2,113,1.54267,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Tahrir_Square
Muslim Brotherhood,2.0625,0,297,2.13691,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Muslim_Brotherhood
Hosni Mubarak,2.0555555555555554,0,74,1.67025,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Hosni_Mubarak
BBC,1.6666666666666667,0,60,0.8009,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/BBC
Egypt,1.5679012345679013,4,504,0.8781,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Egypt
Mohamed Morsi,1.5052083333333333,6,861,1.742,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Mohamed_Morsi
Mohammed Badie,1.078125,0,69,0.9279,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Mohammed_Badie
Cairo,0.9085872576177285,3,325,0.8581,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Cairo
streets,0.8571428571428571,0,42,0.0414543,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Lupe_Fiasco
Alexandria,0.7142857142857143,0,35,0.8253,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Alexandria
el-Arish,0.38,0,38,0.864,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Arish
Mohamed ElBaradei,0.35802469135802467,0,29,0.9228,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Mohamed_ElBaradei
Sinai Peninsula,0.35537190082644626,0,43,1.46139,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Sinai_Peninsula
Rafah,0.24,0,24,1.51424,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Rafah
p.m.,0.23148148148148148,0,75,0.0165359,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/P.M._Dawn
African Union,0.20703125,0,53,0.9289,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/African_Union
Arab League,0.2013888888888889,0,29,0.9088,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Arab_League
Israel,0.19555555555555557,0,44,0.8463,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Israel
presidential palace,0.16444444444444445,0,37,0.7815,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Heliopolis_Palace
de la,0.16115702479338842,0,78,0.0235584,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/De_La_Soul
Gaza Strip,0.13609467455621302,0,23,2.15909,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Gaza_Strip
Al Jazeera,0.13609467455621302,0,23,0.982402,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Al_Jazeera
US State Department,0.1326530612244898,0,26,0.8209,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/United_States_Department_of_State
Bowen,0.12,1,26,0.0692106,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Bowen,_Queensland
Barack?Obama,0.10666666666666667,0,24,0.9093,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Barack_Obama
Madinat Nasr,0.10222222222222223,2,21,0.8961,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Nasr_City
Saad,0.09467455621301775,0,16,0.7195,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Saad_Zaghloul
