Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
Barack Obama,77.0,1,76,0.9116,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Barack_Obama
Bolivia,34.0,1,33,0.8982,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Bolivia
Nicaragua,27.0,1,26,0.8966,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Nicaragua
Venezuela,15.25,1,60,0.8885,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Venezuela
Russians,7.333333333333333,0,66,0.7306,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Russians
Washington,5.0,0,45,0.7005,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Washington,_D.C.
United States,1.2485207100591715,3,208,0.7758,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_States
Russia,0.7008,6,432,0.869,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Russia
National Security Agency,0.6180555555555556,0,89,2.32738,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/National_Security_Agency
Human Rights Watch,0.6122448979591837,1,29,1.60851,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Human_Rights_Watch
Vladimir Putin,0.6121883656509696,3,218,0.9263,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Vladimir_Putin
Edward Snowden,0.5918367346938775,2,259,2.25896,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Edward_Snowden
Moscow,0.42560553633217996,2,121,0.82,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Moscow
Latin America,0.3573407202216066,1,128,0.8197,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Latin_America
White House,0.24793388429752067,0,30,0.8297,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/White_House
CIA,0.1487603305785124,1,17,0.8477,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Central_Intelligence_Agency
Iran,0.12244897959183673,2,22,0.8874,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Iran
Jay Carney,0.10204081632653061,0,20,0.9091,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Jay_Carney
Federal Migration Service,0.09467455621301775,1,15,0.8874,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Federal_Migration_Service_(Russia)
US Department of State,0.08996539792387544,0,26,0.8359,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/United_States_Department_of_State
Europe,0.08888888888888889,0,20,0.7631,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Europe
secrets,0.08163265306122448,0,16,0.0279744,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Dave_Matthews_Band
Syria,0.06228373702422145,1,17,0.8805,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Syria
John Kerry,0.061224489795918366,0,27,0.9206,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/John_Kerry
Ecuador,0.05859375,0,15,0.8936,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Ecuador
Kremlin,0.057777777777777775,1,12,0.782,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Moscow_Kremlin
China,0.0546875,0,14,0.8178,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/China
U.S. State Department,0.05078125,0,13,0.8212,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/United_States_Department_of_State
Soviet Union,0.04844290657439446,0,14,0.857,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Soviet_Union
Hong Kong,0.044444444444444446,0,10,0.835,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Hong_Kong
Amnesty International,0.04296875,0,11,0.9077,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Amnesty_International
united nations,0.038781163434903045,0,14,0.8196,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_Nations
North Korea,0.038781163434903045,0,14,0.9143,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/North_Korea
Glenn Greenwald,0.036011080332409975,0,13,1.29388,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Glenn_Greenwald
Evo Morales,0.031141868512110725,0,9,0.9031,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Evo_Morales
KGB,0.024691358024691357,0,8,0.8857,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/KGB
United States Senate,0.0221606648199446,0,8,0.847,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/United_States_Senate
RT.com,0.02,0,8,0.8439,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/RT_(TV_network)
Gogland,0.019390581717451522,0,7,0.8881,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Gogland
Saint Petersburg,0.019390581717451522,0,7,0.8757,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Saint_Petersburg
Wikileaks,0.0175,0,7,1.00946,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/WikiLeaks
Chechen Republic,0.017013232514177693,0,9,1.23254,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Chechnya
Bush Administration,0.01662049861495845,1,5,0.7688,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Presidency_of_George_W._Bush
Vladimir Lukin,0.01662049861495845,0,6,0.9052,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Vladimir_Lukin
Comedy Central,0.01652892561983471,0,8,0.919,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Comedy_Central
US Congress,0.015873015873015872,0,7,0.8181,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_States_Congress
lounge,0.015,0,6,0.0263413,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Lounge_music
Austria,0.015,0,6,0.835,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Austria
