Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
white people,23.0,0,92,0.7678,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/White_people
verdict,20.5,0,82,0.286734,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Verdict
Martin,5.861111111111111,3,208,0.0619664,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Lockheed_Martin
Sanford Fla,5.222222222222222,0,47,0.8904,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Sanford,_Florida
Zimmerman,1.1481481481481481,5,88,0.0689003,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Ryan_Zimmerman
African-American,0.9591836734693877,1,46,0.8789,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/African_American
Florida,0.8888888888888888,1,127,0.772,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Florida
president Barack Obama,0.5510204081632653,1,26,1.02774,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Barack_Obama
New York City,0.453125,1,28,0.8334,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/New_York_City
Miami,0.2361111111111111,0,34,0.7932,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Miami
U.S. Justice Department,0.16666666666666666,1,23,0.8272,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/United_States_Department_of_Justice
Los Angeles,0.15384615384615385,1,25,0.765,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Los_Angeles
United States of America.,0.11555555555555555,5,21,1.25735,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/United_States
First Baptist Church,0.11242603550295859,1,18,0.8017,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Baptists
Alexander,0.10416666666666667,0,60,0.0698011,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Alexander_II_of_Russia
