Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
Egyptians,29.5,3,115,0.7597,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Egyptians
BBC,3.1875,0,51,0.8009,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/BBC
Tahrir Square,2.8055555555555554,2,99,1.54267,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Tahrir_Square
Mohamed Morsi,2.3157894736842106,6,830,1.742,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Mohamed_Morsi
Egypt,2.1066666666666665,4,470,0.8781,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Egypt
Hosni Mubarak,1.9444444444444444,0,70,1.67025,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Hosni_Mubarak
Muslim Brotherhood,1.6458333333333333,0,237,2.13691,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Muslim_Brotherhood
Mohammed Badie,1.4285714285714286,0,70,0.9279,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Mohammed_Badie
Cairo,1.3777777777777778,3,307,0.8581,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Cairo
Alexandria,0.7142857142857143,0,35,0.8253,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Alexandria
Sinai Peninsula,0.35537190082644626,0,43,1.46139,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Sinai_Peninsula
el-Arish,0.2892561983471074,0,35,0.864,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Arish
Arab League,0.16568047337278108,0,28,0.9088,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Arab_League
Mohamed ElBaradei,0.1597222222222222,0,23,0.9228,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Mohamed_ElBaradei
presidential palace,0.11764705882352941,0,34,0.7815,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Heliopolis_Palace
Rafah,0.11242603550295859,0,19,1.51424,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Rafah
US State Department,0.10222222222222223,0,23,0.8209,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/United_States_Department_of_State
Israel,0.09695290858725762,0,35,0.8463,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Israel
Gaza Strip,0.09183673469387756,0,18,2.15909,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Gaza_Strip
Madinat Nasr,0.0859375,2,20,0.8961,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Nasr_City
Al Jazeera,0.08444444444444445,0,19,0.982402,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Al_Jazeera
Barack?Obama,0.08203125,0,21,0.9093,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Barack_Obama
African Union,0.07407407407407407,0,24,0.9289,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/African_Union
North Africa,0.07111111111111111,0,16,0.8107,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/North_Africa
Hamas,0.06228373702422145,0,18,1.08959,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Hamas
Saad,0.06222222222222222,0,14,0.7195,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Saad_Zaghloul
Libya,0.06222222222222222,0,14,0.8873,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Libya
United States,0.06172839506172839,1,19,0.7606,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_States
Palestinian,0.05555555555555555,0,18,0.832,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Palestinian_people
Freedom and Justice Party,0.0546875,0,14,1.00518,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Freedom_and_Justice_Party_(Egypt)
Adli,0.05190311418685121,0,15,0.8014,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Habib_el-Adly
Mediterranean,0.04888888888888889,0,11,0.7445,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Mediterranean_Sea
William Hague,0.04888888888888889,0,11,0.926667,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/William_Hague
