Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
Russia,1.0,6,376,0.869,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Russia
United States,0.44,3,164,0.7758,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_States
Vladimir Putin,0.38,3,140,0.9263,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Vladimir_Putin
Moscow,0.3225,2,121,0.82,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Moscow
Latin America,0.26,1,100,0.8197,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Latin_America
Edward Snowden,0.23,2,84,2.25896,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Edward_Snowden
National Security Agency,0.2075,0,83,2.32738,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/National_Security_Agency
Venezuela,0.16,1,60,0.8885,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Venezuela
Barack Obama,0.1425,1,53,0.9116,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Barack_Obama
Russians,0.12,0,48,0.7306,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Russians
Bolivia,0.0925,1,33,0.8982,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Bolivia
Human Rights Watch,0.0825,1,29,1.60851,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Human_Rights_Watch
Washington,0.08,0,32,0.7005,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Washington,_D.C.
Nicaragua,0.075,1,26,0.8966,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Nicaragua
White House,0.075,0,30,0.8297,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/White_House
Iran,0.0675,2,19,0.8874,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Iran
John Kerry,0.0575,0,23,0.9206,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/John_Kerry
Syria,0.0525,1,17,0.8805,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Syria
Europe,0.05,0,20,0.7631,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Europe
Federal Migration Service,0.0475,1,15,0.8874,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Federal_Migration_Service_(Russia)
Jay Carney,0.0475,0,19,0.9091,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Jay_Carney
Asylum,0.04,4,0,0.173699,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Right_of_asylum
Kremlin,0.04,1,12,0.782,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Moscow_Kremlin
US Department of State,0.04,0,16,0.8359,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/United_States_Department_of_State
CIA,0.0375,1,11,0.8477,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Central_Intelligence_Agency
Ecuador,0.0375,0,15,0.8936,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Ecuador
Soviet Union,0.035,0,14,0.857,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Soviet_Union
united nations,0.035,0,14,0.8196,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_Nations
China,0.035,0,14,0.8178,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/China
U.S. State Department,0.0325,0,13,0.8212,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/United_States_Department_of_State
Amnesty International,0.0275,0,11,0.9077,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Amnesty_International
Hong Kong,0.025,0,10,0.835,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Hong_Kong
Bush Administration,0.0225,1,5,0.7688,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Presidency_of_George_W._Bush
Chechen Republic,0.0225,0,9,1.23254,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Chechnya
Glenn Greenwald,0.0225,0,9,1.29388,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Glenn_Greenwald
Center for Strategic and International Studies,0.02,1,4,1.24021,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Center_for_Strategic_and_International_Studies
KGB,0.02,0,8,0.8857,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/KGB
North Korea,0.02,0,8,0.9143,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/North_Korea
Gogland,0.0175,0,7,0.8881,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Gogland
Stalin,0.0175,0,7,0.7637,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Joseph_Stalin
Saint Petersburg,0.0175,0,7,0.8757,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Saint_Petersburg
Evo Morales,0.0175,0,7,0.9031,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Evo_Morales
Comedy Central,0.0175,0,7,0.919,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Comedy_Central
Wikileaks,0.0175,0,7,1.00946,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/WikiLeaks
Vladimir Lukin,0.015,0,6,0.9052,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Vladimir_Lukin
Sochi,0.015,0,6,0.8662,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Sochi
United States Senate,0.015,0,6,0.847,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/United_States_Senate
RT.com,0.015,0,6,0.8439,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/RT_(TV_network)
US Congress,0.015,0,6,0.8181,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_States_Congress
Austria,0.015,0,6,0.835,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Austria
