Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
Bolivia,34.0,1,33,0.8982,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Bolivia
Nicaragua,27.0,1,26,0.8966,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Nicaragua
Venezuela,15.25,1,60,0.8885,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Venezuela
Barack Obama,6.0,1,53,0.9116,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Barack_Obama
Russians,3.0,0,48,0.7306,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Russians
United States,1.3801652892561984,3,164,0.7758,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_States
Edward Snowden,1.34375,2,84,2.25896,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Edward_Snowden
National Security Agency,1.0246913580246915,0,83,2.32738,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/National_Security_Agency
Washington,0.6530612244897959,0,32,0.7005,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Washington,_D.C.
Human Rights Watch,0.6122448979591837,1,29,1.60851,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Human_Rights_Watch
Russia,0.6112,6,376,0.869,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Russia
Vladimir Putin,0.55859375,3,140,0.9263,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Vladimir_Putin
Moscow,0.42560553633217996,2,121,0.82,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Moscow
Latin America,0.3117283950617284,1,100,0.8197,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Latin_America
White House,0.24793388429752067,0,30,0.8297,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/White_House
Jay Carney,0.09693877551020408,0,19,0.9091,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Jay_Carney
Federal Migration Service,0.09467455621301775,1,15,0.8874,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Federal_Migration_Service_(Russia)
Europe,0.08888888888888889,0,20,0.7631,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Europe
Iran,0.08203125,2,19,0.8874,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Iran
Syria,0.06228373702422145,1,17,0.8805,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Syria
Ecuador,0.05859375,0,15,0.8936,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Ecuador
Kremlin,0.057777777777777775,1,12,0.782,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Moscow_Kremlin
US Department of State,0.05536332179930796,0,16,0.8359,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/United_States_Department_of_State
China,0.0546875,0,14,0.8178,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/China
CIA,0.05333333333333334,1,11,0.8477,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Central_Intelligence_Agency
U.S. State Department,0.05078125,0,13,0.8212,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/United_States_Department_of_State
Soviet Union,0.04844290657439446,0,14,0.857,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Soviet_Union
