Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
Mohamed Morsi,1.0,6,820,1.742,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Mohamed_Morsi
Egypt,0.5734597156398105,4,468,0.8781,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Egypt
Cairo,0.3744075829383886,3,304,0.8581,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Cairo
Muslim Brotherhood,0.278436018957346,0,235,2.13691,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Muslim_Brotherhood
Egyptians,0.1504739336492891,3,115,0.7597,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Egyptians
Tahrir Square,0.12677725118483413,2,99,1.54267,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Tahrir_Square
Hosni Mubarak,0.08293838862559241,0,70,1.67025,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Hosni_Mubarak
Mohammed Badie,0.08293838862559241,0,70,0.9279,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Mohammed_Badie
BBC,0.06042654028436019,0,51,0.8009,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/BBC
Sinai Peninsula,0.0509478672985782,0,43,1.46139,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Sinai_Peninsula
Israel,0.041469194312796206,0,35,0.8463,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Israel
Madinat Nasr,0.030805687203791468,2,18,0.8961,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Nasr_City
Alexandria,0.030805687203791468,0,26,0.8253,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Alexandria
African Union,0.02843601895734597,0,24,0.9289,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/African_Union
United States,0.027251184834123223,1,19,0.7606,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_States
Mohamed ElBaradei,0.027251184834123223,0,23,0.9228,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Mohamed_ElBaradei
US State Department,0.023696682464454975,0,20,0.8209,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/United_States_Department_of_State
Rafah,0.022511848341232227,0,19,1.51424,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Rafah
Barack?Obama,0.022511848341232227,0,19,0.9093,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Barack_Obama
Gaza Strip,0.02132701421800948,0,18,2.15909,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Gaza_Strip
Hamas,0.02132701421800948,0,18,1.08959,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Hamas
Palestinian,0.02132701421800948,0,18,0.832,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Palestinian_people
Arab League,0.02014218009478673,0,17,0.9088,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Arab_League
Al Jazeera,0.02014218009478673,0,17,0.982402,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Al_Jazeera
Adli,0.017772511848341232,0,15,0.8014,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Habib_el-Adly
Syria,0.017772511848341232,0,15,0.8894,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Syria
