Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
Egyptians,29.5,3,115,0.7597,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Egyptians
BBC,3.1875,0,51,0.8009,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/BBC
Tahrir Square,2.8055555555555554,2,99,1.54267,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Tahrir_Square
Egypt,2.4081632653061225,4,468,0.8781,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Egypt
Mohamed Morsi,2.2880886426592797,6,820,1.742,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Mohamed_Morsi
Hosni Mubarak,1.9444444444444444,0,70,1.67025,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Hosni_Mubarak
Muslim Brotherhood,1.6319444444444444,0,235,2.13691,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Muslim_Brotherhood
Cairo,1.566326530612245,3,304,0.8581,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Cairo
Mohammed Badie,1.4285714285714286,0,70,0.9279,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Mohammed_Badie
Sinai Peninsula,0.35537190082644626,0,43,1.46139,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Sinai_Peninsula
Alexandria,0.18055555555555555,0,26,0.8253,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Alexandria
Mohamed ElBaradei,0.1597222222222222,0,23,0.9228,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Mohamed_ElBaradei
Rafah,0.11242603550295859,0,19,1.51424,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Rafah
Israel,0.09695290858725762,0,35,0.8463,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Israel
Gaza Strip,0.09183673469387756,0,18,2.15909,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Gaza_Strip
Madinat Nasr,0.078125,2,18,0.8961,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Nasr_City
US State Department,0.078125,0,20,0.8209,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/United_States_Department_of_State
African Union,0.07407407407407407,0,24,0.9289,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/African_Union
Al Jazeera,0.06640625,0,17,0.982402,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Al_Jazeera
Barack?Obama,0.0657439446366782,0,19,0.9093,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Barack_Obama
Hamas,0.06228373702422145,0,18,1.08959,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Hamas
Saad,0.06222222222222222,0,14,0.7195,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Saad_Zaghloul
Libya,0.06222222222222222,0,14,0.8873,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Libya
United States,0.06172839506172839,1,19,0.7606,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_States
Palestinian,0.05555555555555555,0,18,0.832,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Palestinian_people
Freedom and Justice Party,0.0546875,0,14,1.00518,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Freedom_and_Justice_Party_(Egypt)
Adli,0.05190311418685121,0,15,0.8014,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Habib_el-Adly
Mediterranean,0.04888888888888889,0,11,0.7445,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Mediterranean_Sea
William Hague,0.04888888888888889,0,11,0.926667,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/William_Hague
Arab League,0.04709141274238227,0,17,0.9088,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Arab_League
Mohamed Kamel Amr,0.038781163434903045,0,14,0.9133,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Mohamed_Kamel_Amr
Ismailia,0.03460207612456748,0,10,0.8887,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Isma%C3%AFlia
