Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
Tokyo Electric Power Company,0.7469135802469136,5,237,1.91924,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Tokyo_Electric_Power_Company
Pacific Ocean,0.654320987654321,1,52,0.8542,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Pacific_Ocean
Japan,0.6390532544378699,1,107,0.8429,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Japan
Fukushima Daiichi nuclear disaster,0.5306122448979592,3,231,0.9278,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Fukushima_Daiichi_nuclear_disaster
Obama Administration,0.05103969754253308,0,27,0.7575,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Barack_Obama
Nuclear Regulatory Commission,0.027700831024930747,0,10,1.7036,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Nuclear_Regulatory_Commission
Liberal Democratic Party,0.027700831024930747,0,10,1.05795,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Liberal_Democratic_Party_(Japan)
Shinzo Abe,0.019390581717451522,0,7,0.941,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Shinz%C5%8D_Abe
California,0.019390581717451522,0,7,0.766,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/California
Iran,0.01859504132231405,0,9,0.8755,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Iran
United States,0.0175,0,7,0.765,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_States
NHK,0.01662049861495845,0,6,0.8337,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/NHK
Hawaii,0.01662049861495845,0,6,0.8298,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Hawaii
Gitmo,0.013888888888888888,0,8,0.8335,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Guantanamo_Bay_detention_camp
Syria,0.013888888888888888,0,8,0.8633,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Syria
Russia Today,0.0125,0,5,0.8054,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/RT_(TV_network)
NASA,0.0125,0,5,0.8617,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/NASA
Canada,0.0125,0,5,0.779,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Canada
reactor,0.012396694214876033,3,3,0.229079,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Nuclear_reactor
plant,0.011342155009451797,5,1,0.158657,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Plant
BBC News,0.011337868480725623,2,3,0.8198,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/BBC_News
United Nations,0.011337868480725623,0,5,0.7962,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_Nations
Indonesia,0.011337868480725623,0,5,0.872,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Indonesia
WWF,0.010416666666666666,0,6,0.7559,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/World_Wide_Fund_for_Nature
Hamajima,0.010416666666666666,0,6,0.8405,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Hamajima,_Mie
Tanaka,0.010330578512396695,0,5,0.6822,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Koichi_Tanaka
Radiation,0.00945179584120983,4,1,0.236496,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Radiation
Mitt Romney,0.00945179584120983,0,5,0.9007,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Mitt_Romney
Bill Keller,0.00945179584120983,0,5,0.8348,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Bill_Keller
