Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
Kensington Palace,0.9318181818181818,1,160,1.88036,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Kensington_Palace
Prince Charles,0.6761363636363636,2,111,0.858,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Charles,_Prince_of_Wales
Queen Elizabeth II,0.5852272727272727,3,91,0.837,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Elizabeth_II
King George V,0.48863636363636365,4,70,0.8596,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/George_V
Prince William Duke of Cambridge,0.4431818181818182,2,70,1.69326,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Prince_William,_Duke_of_Cambridge
Alexander the Great,0.375,1,62,0.903,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Alexander_the_Great
George VI,0.3693181818181818,2,57,0.8524,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/George_VI
LONDON,0.36363636363636365,0,64,0.7506,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/London
Queen,0.2784090909090909,1,45,0.7452,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Elizabeth_II
Bucklebury,0.26136363636363635,0,46,0.8742,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Bucklebury
Lord Mountbatten,0.23295454545454544,2,33,1.23014,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Louis_Mountbatten,_1st_Earl_Mountbatten_of_Burma
St. Mary?s Hospital Paddington,0.22727272727272727,0,40,0.8053,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/St_Mary's_Hospital,_London
Cambridge,0.19886363636363635,0,35,0.7149,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Cambridge
England,0.17613636363636365,0,31,0.7904,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Kingdom_of_England
Balmoral Castle,0.13068181818181818,1,19,1.34075,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Balmoral_Castle
Berkshire,0.13068181818181818,0,23,0.8148,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Berkshire
United Kingdom,0.11931818181818182,1,17,0.7671,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_Kingdom
Catherine Duchess of Cambridge,0.11931818181818182,2,13,1.20527,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Catherine,_Duchess_of_Cambridge
BBC,0.10227272727272728,0,18,0.7984,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/BBC
British,0.08522727272727272,0,15,0.7282,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/British_Empire
Nottingham,0.07386363636363637,0,13,0.7902,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Nottingham
father,0.06818181818181818,2,4,0.142605,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Father
Princess Victoria,0.06818181818181818,0,12,0.7956,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Queen_Victoria
Royal,0.0625,1,7,0.241977,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Royal_family
