Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
King George V,18.5,4,70,0.8596,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/George_V
Alexander the Great,15.75,1,62,0.903,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Alexander_the_Great
Prince William Duke of Cambridge,8.0,2,70,1.69326,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Prince_William,_Duke_of_Cambridge
Bucklebury,5.111111111111111,0,46,0.8742,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Bucklebury
LONDON,4.0,0,64,0.7506,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/London
Cambridge,3.888888888888889,0,35,0.7149,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Cambridge
Queen Elizabeth II,3.76,3,91,0.837,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Elizabeth_II
St. Mary?s Hospital Paddington,1.6,0,40,0.8053,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/St_Mary's_Hospital,_London
George VI,1.2040816326530612,2,57,0.8524,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/George_VI
Lord Mountbatten,0.9722222222222222,2,33,1.23014,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Louis_Mountbatten,_1st_Earl_Mountbatten_of_Burma
Queen,0.9387755102040817,1,45,0.7452,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Elizabeth_II
Prince Charles,0.6686390532544378,2,111,0.858,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Charles,_Prince_of_Wales
England,0.6326530612244898,0,31,0.7904,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Kingdom_of_England
Kensington Palace,0.33264462809917356,1,160,1.88036,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Kensington_Palace
Berkshire,0.2839506172839506,0,23,0.8148,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Berkshire
Balmoral Castle,0.1652892561983471,1,19,1.34075,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Balmoral_Castle
United Kingdom,0.125,1,17,0.7671,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_Kingdom
BBC,0.06228373702422145,0,18,0.7984,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/BBC
Nottingham,0.057777777777777775,0,13,0.7902,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Nottingham
British,0.046296296296296294,0,15,0.7282,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/British_Empire
Wales,0.044444444444444446,0,10,0.7193,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Wales
Catherine Duchess of Cambridge,0.04155124653739612,2,13,1.20527,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Catherine,_Duchess_of_Cambridge
Princess Victoria,0.0332409972299169,0,12,0.7956,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Queen_Victoria
Royal,0.02768166089965398,1,7,0.241977,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Royal_family
Edward VIII,0.024930747922437674,0,9,0.8695,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Edward_VIII
