Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
Florida,0.8865248226950354,1,121,0.772,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Florida
African-American,0.3120567375886525,0,44,0.8856,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/African_American
Sanford Fla,0.28368794326241137,0,40,0.8904,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Sanford,_Florida
United States of America.,0.20567375886524822,5,9,1.25735,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/United_States
Atlanta,0.20567375886524822,0,29,0.8049,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Atlanta
New York City,0.19858156028368795,1,24,0.8334,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/New_York_City
Miami,0.19858156028368795,0,28,0.7932,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Miami
Los Angeles,0.19148936170212766,1,23,0.765,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Los_Angeles
Alexander,0.1773049645390071,0,25,0.6569,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Alexander_the_Great
U.S. Justice Department,0.16312056737588654,1,19,0.8272,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/United_States_Department_of_Justice
Seminole County,0.16312056737588654,0,23,0.8637,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Seminole_County,_Florida
NPR,0.16312056737588654,0,23,1.1222,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/NPR
George Zimmerman,0.14893617021276595,5,1,0.8702,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/George_Zimmerman
president Barack Obama,0.1347517730496454,1,15,1.02774,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Barack_Obama
First Baptist Church,0.1347517730496454,1,15,0.8017,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Baptists
San Francisco,0.12056737588652482,1,13,0.7875,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/San_Francisco
Trayvon Martin,0.11347517730496454,3,4,0.8589,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Shooting_of_Trayvon_Martin
Oakland California,0.10638297872340426,0,15,0.8536,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Oakland,_California
Orlando,0.10638297872340426,0,15,0.7947,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Orlando,_Florida
Chicago,0.10638297872340426,0,15,0.7937,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Chicago
Washington,0.09219858156028368,1,9,0.704,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Washington,_D.C.
Al Sharpton,0.09219858156028368,1,9,0.9,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Al_Sharpton
CNN,0.09219858156028368,0,13,0.8406,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/CNN
Philadelphia,0.09219858156028368,0,13,0.8049,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Philadelphia
not guilty,0.0851063829787234,3,0,0.202944,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Acquittal
Minneapolis,0.07801418439716312,1,7,0.7768,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Minneapolis
Burbank,0.07801418439716312,0,11,0.7363,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Burbank,_California
Jesse Jackson,0.07092198581560284,0,10,0.8904,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Jesse_Jackson
Mississippi,0.07092198581560284,0,10,0.7528,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Mississippi
White,0.07092198581560284,0,10,0.735,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/White_people
Columbia University,0.07092198581560284,0,10,0.8386,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Columbia_University
St. Paul Minnesota,0.06382978723404255,1,5,0.796,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Saint_Paul,_Minnesota
EPA,0.06382978723404255,0,9,0.6932,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/United_States_Environmental_Protection_Agency
Republican Party,0.06382978723404255,0,9,0.7951,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Republican_Party_(United_States)
Jim Walsh,0.06382978723404255,0,9,0.864,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/James_T._Walsh
gun,0.05673758865248227,2,0,0.124205,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Gun
Serino,0.04964539007092199,1,3,0.6672,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Serino
interview,0.04964539007092199,1,3,0.0688032,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Interview
Middle Collegiate Church,0.04964539007092199,0,7,0.756,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Collegiate_Reformed_Protestant_Dutch_Church
CBS,0.04964539007092199,0,7,0.8419,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/CBS
Fox News,0.04964539007092199,0,7,0.8257,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Fox_News_Channel
black churches,0.0425531914893617,1,2,0.127855,http://nerd.eurecom.fr/ontology#Product,http://dbpedia.org/resource/Black_church
Neighborhoods,0.03546099290780142,1,1,0.6348,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Neighbourhood
court case,0.03546099290780142,1,1,0.122639,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Legal_case
death,0.03546099290780142,1,1,0.104342,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Death
reflection,0.03546099290780142,1,1,0.0662904,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Reflection_%28physics%29
