Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
Mohamed Morsi,1.0,6,851,1.742,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Mohamed_Morsi
Egypt,0.5862857142857143,4,497,0.8781,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Egypt
Cairo,0.38171428571428573,3,322,0.8581,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Cairo
Muslim Brotherhood,0.33714285714285713,0,295,2.13691,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Muslim_Brotherhood
Egyptians,0.16228571428571428,3,130,0.7597,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Egyptians
Tahrir Square,0.1382857142857143,2,113,1.54267,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Tahrir_Square
Hosni Mubarak,0.08457142857142858,0,74,1.67025,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Hosni_Mubarak
Mohammed Badie,0.07885714285714286,0,69,0.9279,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Mohammed_Badie
BBC,0.06857142857142857,0,60,0.8009,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/BBC
Sinai Peninsula,0.04914285714285714,0,43,1.46139,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Sinai_Peninsula
Israel,0.04114285714285714,0,36,0.8463,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Israel
Bowen,0.03428571428571429,1,26,0.0692106,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Bowen,_Queensland
Mohamed ElBaradei,0.03314285714285714,0,29,0.9228,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Mohamed_ElBaradei
Madinat Nasr,0.029714285714285714,2,18,0.8961,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Nasr_City
Alexandria,0.029714285714285714,0,26,0.8253,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Alexandria
United States,0.02857142857142857,1,21,0.7606,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_States
Rafah,0.027428571428571427,0,24,1.51424,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Rafah
African Union,0.026285714285714287,0,23,0.9289,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/African_Union
Gaza Strip,0.026285714285714287,0,23,2.15909,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Gaza_Strip
Barack?Obama,0.025142857142857144,0,22,0.9093,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Barack_Obama
US State Department,0.024,0,21,0.8209,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/United_States_Department_of_State
Al Jazeera,0.024,0,21,0.982402,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Al_Jazeera
Hamas,0.022857142857142857,0,20,1.08959,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Hamas
Palestinian,0.02057142857142857,0,18,0.832,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Palestinian_people
Arab League,0.019428571428571427,0,17,0.9088,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Arab_League
Tweet,0.019428571428571427,0,17,7.08154E-4,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Tweet_%28singer%29
Saad,0.017142857142857144,0,15,0.7195,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Saad_Zaghloul
Adli,0.017142857142857144,0,15,0.8014,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Habib_el-Adly
Mediterranean,0.017142857142857144,0,15,0.7445,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Mediterranean_Sea
Syria,0.017142857142857144,0,15,0.8894,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Syria
Libya,0.017142857142857144,0,15,0.8873,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Libya
Mohamed Kamel Amr,0.016,0,14,0.9133,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Mohamed_Kamel_Amr
Freedom and Justice Party,0.016,0,14,1.00518,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Freedom_and_Justice_Party_(Egypt)
Bashar al-Assad,0.016,0,14,1.29065,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Bashar_al-Assad
United Nations,0.014857142857142857,0,13,0.8312,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_Nations
Arab world,0.014857142857142857,0,13,0.822,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Arab_world
Khaled,0.013714285714285714,0,12,0.0190789,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Khaled_%28musician%29
Asiut,0.013714285714285714,0,12,0.8731,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Asyut
Zine al-Abidine Ben Ali,0.013714285714285714,0,12,0.8757,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Zine_El_Abidine_Ben_Ali
Qina,0.013714285714285714,0,12,0.8623,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Qena
El-Arish,0.013714285714285714,0,12,0.8486,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Arish
Yemen,0.013714285714285714,0,12,0.8866,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Yemen
CNN,0.012571428571428572,0,11,0.8608,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/CNN
Nile Delta,0.012571428571428572,0,11,1.01906,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Nile_Delta
William Hague,0.012571428571428572,0,11,0.926667,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/William_Hague
NPR,0.012571428571428572,0,11,0.8429,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/NPR
Ali Abdullah Saleh,0.011428571428571429,0,10,0.898,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Ali_Abdullah_Saleh
Ban Ki-moon,0.011428571428571429,0,10,1.40733,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Ban_Ki-moon
Ismailia,0.011428571428571429,0,10,0.8887,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Isma%C3%AFlia
Washington DC,0.011428571428571429,0,10,0.8054,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Washington,_D.C.
