Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
Tokyo Electric Power Company,0.9772727272727273,5,238,1.91924,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Tokyo_Electric_Power_Company
Fukushima Daiichi nuclear disaster,0.9696969696969697,3,244,0.9278,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Fukushima_Daiichi_nuclear_disaster
Japan,0.4318181818181818,1,110,0.8429,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Japan
Pacific Ocean,0.22727272727272727,1,56,0.8542,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Pacific_Ocean
Obama Administration,0.12121212121212122,0,32,0.7575,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Barack_Obama
plant,0.09090909090909091,5,4,0.158657,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Plant
Radiation,0.07196969696969698,4,3,0.236496,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Radiation
Ono,0.06818181818181818,0,18,0.6405,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Yoko_Ono
H.,0.06818181818181818,0,18,0.0106267,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Tool_%28band%29
Nuclear Regulatory Commission,0.06439393939393939,0,17,1.7036,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Nuclear_Regulatory_Commission
reactor,0.05303030303030303,3,2,0.229079,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Nuclear_reactor
K.,0.05303030303030303,0,14,0.00397415,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Kauffman_Stadium
Tanaka,0.04924242424242424,0,13,0.0677608,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Kakuei_Tanaka
BBC News,0.045454545454545456,2,4,0.8198,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/BBC_News
cores,0.03787878787878788,1,6,0.0280355,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/The_Corrs
steam,0.03787878787878788,2,2,0.283484,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Steam
Liberal Democratic Party,0.03787878787878788,0,10,1.05795,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Liberal_Democratic_Party_(Japan)
Gitmo,0.03787878787878788,0,10,0.8335,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Guantanamo_Bay_detention_camp
concern,0.03409090909090909,2,1,0.0590193,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Concern_Worldwide
Iran,0.03409090909090909,0,9,0.8755,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Iran
Miyazawa,0.03409090909090909,0,9,0.00547567,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Rie_Miyazawa
