Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
Tokyo Electric Power Company,0.6731301939058172,5,238,1.91924,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Tokyo_Electric_Power_Company
Pacific Ocean,0.57,1,56,0.8542,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Pacific_Ocean
Japan,0.5663265306122449,1,110,0.8429,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Japan
Fukushima Daiichi nuclear disaster,0.5600907029478458,3,244,0.9278,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Fukushima_Daiichi_nuclear_disaster
Ono,0.0703125,0,18,0.6405,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Yoko_Ono
Obama Administration,0.06611570247933884,0,32,0.7575,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Barack_Obama
Nuclear Regulatory Commission,0.058823529411764705,0,17,1.7036,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Nuclear_Regulatory_Commission
Tanaka,0.04498269896193772,0,13,0.0677608,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Kakuei_Tanaka
H.,0.034026465028355386,0,18,0.0106267,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Tool_%28band%29
Liberal Democratic Party,0.027700831024930747,0,10,1.05795,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Liberal_Democratic_Party_(Japan)
K.,0.026465028355387523,0,14,0.00397415,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Kauffman_Stadium
Shinzo Abe,0.0221606648199446,0,8,0.941,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Shinz%C5%8D_Abe
United States,0.0221606648199446,0,8,0.765,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_States
California,0.019390581717451522,0,7,0.766,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/California
Dai,0.019390581717451522,0,7,0.0293228,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Daimler_AG
plant,0.01859504132231405,5,4,0.158657,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Plant
Iran,0.01859504132231405,0,9,0.8755,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Iran
cores,0.0175,1,6,0.0280355,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/The_Corrs
Canada,0.0175,0,7,0.779,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Canada
Gitmo,0.017361111111111112,0,10,0.8335,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Guantanamo_Bay_detention_camp
NHK,0.01662049861495845,0,6,0.8337,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/NHK
Hawaii,0.01662049861495845,0,6,0.8298,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Hawaii
Radiation,0.015873015873015872,4,3,0.236496,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Radiation
Miyazawa,0.015625,0,9,0.00547567,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Rie_Miyazawa
BBC News,0.015,2,4,0.8198,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/BBC_News
Syria,0.013888888888888888,0,8,0.8633,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Syria
Mitt Romney,0.013232514177693762,0,7,0.9007,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Mitt_Romney
Tokyo University of Marine Science and Technology,0.0125,1,4,0.8801,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Tokyo_University_of_Marine_Science_and_Technology
Russia Today,0.0125,0,5,0.8054,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/RT_(TV_network)
NASA,0.0125,0,5,0.8617,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/NASA
Ibaraki Prefecture,0.011337868480725623,0,5,1.02767,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Ibaraki_Prefecture
United Nations,0.011337868480725623,0,5,0.7962,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_Nations
WWF,0.010416666666666666,0,6,0.7559,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/World_Wide_Fund_for_Nature
Hamajima,0.010416666666666666,0,6,0.8405,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Hamajima,_Mie
China,0.010330578512396695,0,5,0.8178,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/China
Nice,0.010330578512396695,0,5,0.0485672,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Nice
reactor,0.00945179584120983,3,2,0.229079,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Nuclear_reactor
Germany,0.00945179584120983,0,5,0.7552,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Germany
Bill Keller,0.00945179584120983,0,5,0.8348,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Bill_Keller
