Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
George,1.0,4,288,0.32387,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/George_V_of_the_United_Kingdom
Prince William Duke of Cambridge,0.743421052631579,2,218,1.69326,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Prince_William,_Duke_of_Cambridge
Kensington Palace,0.6052631578947368,1,180,1.88036,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Kensington_Palace
Prince Charles,0.5526315789473685,2,160,0.858,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Charles,_Prince_of_Wales
Queen Elizabeth II,0.4144736842105263,3,114,0.837,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Elizabeth_II
LONDON,0.2631578947368421,0,80,0.7506,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/London
Duchess of Cambridge,0.24013157894736842,2,65,1.29207,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Catherine,_Duchess_of_Cambridge
Alexander the Great,0.23355263157894737,1,67,0.903,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Alexander_the_Great
Queen,0.19407894736842105,1,55,0.7452,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Elizabeth_II
Lord Mountbatten,0.1513157894736842,2,38,1.23014,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Louis_Mountbatten,_1st_Earl_Mountbatten_of_Burma
Bucklebury,0.1513157894736842,0,46,0.8742,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Bucklebury
George VI,0.13815789473684212,2,34,0.8416,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/George_VI
St. Mary?s Hospital Paddington,0.13486842105263158,0,41,0.8053,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/St_Mary's_Hospital,_London
Duchess of Cambridge,0.10526315789473684,0,32,1.17052,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Catherine,_Duchess_of_Cambridge
England,0.10197368421052631,0,31,0.7904,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Kingdom_of_England
Michael Middleton,0.08552631578947369,0,26,0.263438,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Family_of_Catherine,_Duchess_of_Cambridge
Berkshire,0.08223684210526316,0,25,0.8148,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Berkshire
Balmoral Castle,0.0756578947368421,1,19,1.34075,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Balmoral_Castle
St Mary,0.0756578947368421,0,23,0.0527104,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Mary_%28mother_of_Jesus%29
United Kingdom,0.07236842105263158,1,18,0.7671,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_Kingdom
British,0.06907894736842106,0,21,0.7282,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/British_Empire
William,0.06907894736842106,0,21,0.0776302,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/William_IV_of_the_United_Kingdom
James,0.05921052631578947,1,14,0.0794269,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/James_%28band%29
BBC,0.05921052631578947,0,18,0.7984,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/BBC
Royal,0.049342105263157895,1,11,0.241977,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Royal_family
Nottingham,0.046052631578947366,0,14,0.7902,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Nottingham
Louis,0.04276315789473684,0,13,0.6835,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Louis_IV,_Grand_Duke_of_Hesse
Anne,0.04276315789473684,0,13,0.109536,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Anne,_Princess_Royal
father,0.039473684210526314,2,4,0.142605,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Father
Edward VIII,0.039473684210526314,0,12,0.8695,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Edward_VIII
Wales,0.03618421052631579,0,11,0.7193,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Wales
Princess Diana,0.03618421052631579,0,11,1.28553,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Diana,_Princess_of_Wales
David Cameron,0.03289473684210526,0,10,0.917,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/David_Cameron
Windsor Castle,0.03289473684210526,0,10,1.71976,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Windsor_Castle
