Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
Prince Harry,45.0,0,45,1.05097,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Prince_Harry
Alexander the Great,16.0,1,63,0.903,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Alexander_the_Great
George VI,9.0,2,79,0.8524,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/George_VI
Bucklebury,5.111111111111111,0,46,0.8742,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Bucklebury
LONDON,4.3125,0,69,0.7506,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/London
Elizabeth Alexandra Mary,2.8333333333333335,3,99,2.17699,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Elizabeth_II
King George V,1.8125,4,112,0.950506,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/George_V
St. Mary?s Hospital Paddington,1.64,0,41,0.8053,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/St_Mary's_Hospital,_London
Lord Mountbatten,1.56,2,37,1.23014,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Louis_Mountbatten,_1st_Earl_Mountbatten_of_Burma
His Royal Highness,1.3611111111111112,1,48,0.7745,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Royal_Highness
Diana Princess of Wales,1.2777777777777777,0,46,2.08872,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Diana,_Princess_of_Wales
Queen Elizabeth II,0.8163265306122449,1,39,1.81634,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Elizabeth_II
The Prince of Wales,0.7193877551020408,2,139,1.09425,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Charles,_Prince_of_Wales
England,0.6938775510204082,0,34,0.7904,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Kingdom_of_England
Prince William Duke of Cambridge,0.6349206349206349,2,278,1.69326,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Prince_William,_Duke_of_Cambridge
Pippa Middleton,0.5918367346938775,0,29,0.9092,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Pippa_Middleton
William Kate,0.546875,0,35,0.7712,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/William_&_Kate
Duchess of Cambridge,0.4293628808864266,2,153,1.29207,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Catherine,_Duchess_of_Cambridge
United Kingdom,0.421875,1,26,0.7671,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_Kingdom
Kensington Palace,0.3347107438016529,1,161,1.88036,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Kensington_Palace
Berkshire,0.2839506172839506,0,23,0.8148,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Berkshire
Edward VIII,0.1875,0,27,1.51563,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Edward_VIII
Balmoral Castle,0.1652892561983471,1,19,1.34075,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Balmoral_Castle
The Duke of Edinburgh,0.14583333333333334,0,21,1.16786,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Prince_Philip,_Duke_of_Edinburgh
Queen Victoria,0.1288888888888889,0,29,0.8962,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Queen_Victoria
Range Rover,0.11834319526627218,1,19,0.8603,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Range_Rover
Irish Republican Army,0.09467455621301775,0,16,0.8471,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Provisional_Irish_Republican_Army
Scotland,0.07111111111111111,0,16,0.7996,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Scotland
British,0.06640625,0,17,0.7282,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/British_Empire
BBC,0.0657439446366782,0,19,0.7984,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/BBC
Nottingham,0.057777777777777775,0,13,0.7902,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Nottingham
Duchess of Cambridge,0.055401662049861494,0,20,1.17052,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Catherine,_Duchess_of_Cambridge
Twitter,0.05536332179930796,0,16,0.8397,http://nerd.eurecom.fr/ontology#Product,http://dbpedia.org/resource/Twitter
Christening,0.0425,0,17,0.7514,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Infant_baptism
Bentley,0.0390625,0,10,0.7026,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Bentley
Daily Mail,0.0390625,0,10,0.873,http://nerd.eurecom.fr/ontology#Product,http://dbpedia.org/resource/Daily_Mail
Royal Air Force,0.03806228373702422,0,11,0.8964,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Royal_Air_Force
