Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
African-American,1.8,0,45,0.8856,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/African_American
Florida,1.5555555555555556,1,125,0.772,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Florida
Sanford Fla,1.1111111111111112,0,40,0.8904,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Sanford,_Florida
Trayvon Martin,0.6844444444444444,3,151,0.888906,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Trayvon_Martin
Los Angeles,0.515625,1,32,0.765,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Los_Angeles
George Zimmerman,0.42911153119092627,5,222,1.05492,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/George_Zimmerman
president Barack Obama,0.3125,1,19,1.02774,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Barack_Obama
New York City,0.29,1,28,0.8334,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/New_York_City
U.S. Justice Department,0.2839506172839506,1,22,0.8272,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/United_States_Department_of_Justice
Stand Your Ground law,0.2361111111111111,0,34,0.8934,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Stand-your-ground_law
Saint Paul,0.2222222222222222,1,17,0.7695,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Paul_the_Apostle
Miami,0.2222222222222222,0,32,0.7932,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Miami
National Association for the Advancement of Coloured People,0.1736111111111111,0,25,0.9322,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/National_Association_for_the_Advancement_of_Colored_People
First Baptist Church,0.11242603550295859,1,18,0.8017,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Baptists
Seminole County,0.10666666666666667,0,24,0.8637,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Seminole_County,_Florida
Oakland California,0.10059171597633136,0,17,0.8536,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Oakland,_California
Orlando,0.08996539792387544,0,26,0.7947,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Orlando,_Florida
Times Square,0.08984375,0,23,0.8631,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Times_Square
Al Sharpton,0.08875739644970414,1,14,0.939341,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Al_Sharpton
Facebook,0.07421875,0,19,0.8257,http://nerd.eurecom.fr/ontology#Product,http://dbpedia.org/resource/Facebook
Jesse Jackson,0.07142857142857142,0,14,0.8904,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Jesse_Jackson
Rachel Jeantel,0.07142857142857142,0,14,0.904,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/State_of_Florida_v._George_Zimmerman
Washington D.C.,0.06666666666666667,1,14,1.27234,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Washington,_D.C.
Black people,0.06666666666666667,1,14,0.7646,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Black_people
Chicago,0.06666666666666667,0,15,0.7937,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Chicago
United States of America.,0.06640625,5,12,1.25735,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/United_States
Alexander,0.05785123966942149,0,28,0.6569,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Alexander_the_Great
Hoodie,0.057777777777777775,0,13,0.7819,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Hoodie
Manhattan,0.05536332179930796,0,16,0.7883,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Manhattan
NPR,0.05442176870748299,0,24,1.1222,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/NPR
Civil rights,0.04888888888888889,1,10,0.7692,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Civil_and_political_rights
