Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
Queen Elizabeth II,69.0,1,68,1.81634,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Elizabeth_II
Carole Middleton,63.0,0,63,0.8174,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Family_of_Catherine,_Duchess_of_Cambridge
Alexander the Great,7.333333333333333,1,65,0.903,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Alexander_the_Great
Bucklebury,5.111111111111111,0,46,0.8742,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Bucklebury
LONDON,4.8125,0,77,0.7506,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/London
Prince Harry,3.75,0,60,1.05217,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Prince_Harry
Diana Princess of Wales,3.4375,0,55,2.08872,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Diana,_Princess_of_Wales
Duchess of Cambridge,2.6944444444444446,0,97,1.17052,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Catherine,_Duchess_of_Cambridge
England,2.3125,0,37,0.7904,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Kingdom_of_England
Duchess,2.125,0,136,0.6875,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Duke
Elizabeth Alexandra Mary,2.0625,3,129,2.17699,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Elizabeth_II
Lord Mountbatten,1.96,2,47,1.23014,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Louis_Mountbatten,_1st_Earl_Mountbatten_of_Burma
United Kingdom,1.88,1,46,0.7671,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_Kingdom
St. Mary?s Hospital Paddington,1.72,0,43,0.8053,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/St_Mary's_Hospital,_London
George,1.6577777777777778,4,369,0.32387,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/George_V_of_the_United_Kingdom
Kate,0.953125,2,242,0.200922,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Kate_Austen
George VI,0.8775510204081632,2,41,0.8416,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/George_VI
Prince William Duke of Cambridge,0.831758034026465,2,438,1.69326,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Prince_William,_Duke_of_Cambridge
His Royal Highness,0.76,1,75,0.7745,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Royal_Highness
The Prince of Wales,0.65625,2,166,1.09425,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Charles,_Prince_of_Wales
James,0.390625,1,24,0.0794269,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/James_%28band%29
Berkshire,0.390625,0,25,0.8148,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Berkshire
Kensington Palace,0.3454861111111111,1,198,1.88036,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Kensington_Palace
Edward VIII,0.26,0,26,1.51563,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Edward_VIII
Charlotte,0.2222222222222222,0,32,0.6802,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Charlotte,_North_Carolina
Balmoral Castle,0.22,1,21,1.34075,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Balmoral_Castle
Queen Victoria,0.1683673469387755,0,33,0.8962,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Queen_Victoria
Sovereign,0.16666666666666666,2,22,0.7738,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Monarchy_of_the_United_Kingdom
Range Rover,0.1597222222222222,1,22,0.8603,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Range_Rover
William,0.1511111111111111,0,34,0.0776302,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/William_IV_of_the_United_Kingdom
Catherine,0.1388888888888889,2,18,0.0440925,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Catherine_Willows
Scotland,0.13194444444444445,0,19,0.7996,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Scotland
Louis,0.11555555555555555,0,26,0.6835,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Louis_IV,_Grand_Duke_of_Hesse
Baby,0.11242603550295859,1,18,0.6542,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Infant
Royal Family,0.11224489795918367,0,22,0.7223,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Royal_family
Irish Republican Army,0.10059171597633136,0,17,0.8471,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Provisional_Irish_Republican_Army
The Duke of Edinburgh,0.08888888888888889,0,20,1.16786,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Prince_Philip,_Duke_of_Edinburgh
Nottingham,0.08875739644970414,0,15,0.7902,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Nottingham
Sovereign,0.08,0,18,0.7261,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Monarch
British,0.07555555555555556,0,17,0.7282,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/British_Empire
BBC,0.06920415224913495,0,20,0.7984,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/BBC
St Mary,0.0657439446366782,0,19,0.0527104,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Mary_%28mother_of_Jesus%29
Twitter,0.05536332179930796,0,16,0.8397,http://nerd.eurecom.fr/ontology#Product,http://dbpedia.org/resource/Twitter
Christening,0.05,0,20,0.7514,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Infant_baptism
Windsor Castle,0.04844290657439446,0,14,1.71976,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Windsor_Castle
Daily Mail,0.046875,0,12,0.873,http://nerd.eurecom.fr/ontology#Product,http://dbpedia.org/resource/Daily_Mail
July 22,0.046296296296296294,0,15,0.0770436,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/July_22
Camilla Duchess of Cornwall,0.04498269896193772,0,13,1.27272,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Camilla,_Duchess_of_Cornwall
Bentley,0.0390625,0,10,0.7026,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Bentley
BST,0.03806228373702422,0,11,0.8059,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/British_Summer_Time
