Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
Edward Snowden,0.9790301441677588,2,739,2.25896,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Edward_Snowden
Russia,0.6264744429882044,6,454,0.869,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Russia
United States,0.6146788990825688,3,457,0.7758,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_States
Vladimir Putin,0.40104849279161203,0,306,1.78211,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Vladimir_Putin
Russian President,0.23853211009174313,3,170,0.8253,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/President_of_Russia
Moscow,0.22018348623853212,2,160,0.82,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Moscow
Latin America,0.19921363040629095,1,148,0.8197,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Latin_America
National Security Agency,0.12844036697247707,0,98,2.32738,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/National_Security_Agency
Barack Obama,0.11795543905635648,1,86,1.66995,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Barack_Obama
Venezuela,0.09698558322411534,1,70,0.8885,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Venezuela
Sheremetyevo International Airport,0.0799475753604194,0,61,0.9141,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Sheremetyevo_International_Airport
Russians,0.07339449541284404,0,56,0.7306,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Russians
Washington,0.0655307994757536,0,50,0.7005,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Washington,_D.C.
Kremlin,0.06028833551769332,1,42,0.7689,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Kremlin
Human Rights Watch,0.05242463958060288,1,36,1.60851,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Human_Rights_Watch
Bolivia,0.04980340760157274,1,34,0.8982,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Bolivia
Hong Kong,0.04193971166448231,0,32,1.72221,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Hong_Kong
Russian government,0.04193971166448231,0,32,0.271964,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Government_of_Russia
White House,0.04062909567496723,0,31,0.8297,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/White_House
U.S. State Department,0.04062909567496723,0,31,0.8212,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/United_States_Department_of_State
Nicaragua,0.039318479685452164,1,26,0.8966,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Nicaragua
John Kerry,0.03800786369593709,0,29,0.9206,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/John_Kerry
Syria,0.03145478374836173,1,20,0.8805,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Syria
Wikileaks,0.03145478374836173,0,24,1.00946,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/WikiLeaks
ASYLUM,0.03014416775884666,4,7,0.6746,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Right_of_asylum
Federal Migration Service,0.028833551769331587,1,18,0.8874,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Federal_Migration_Service_(Russia)
July 12,0.027522935779816515,0,21,0.0195825,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/July_12
Jay Carney,0.02621231979030144,0,20,0.9091,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Jay_Carney
American,0.02490170380078637,0,19,0.6821,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Americans
CIA,0.023591087811271297,1,14,0.8477,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Central_Intelligence_Agency
Policy,0.023591087811271297,1,14,0.6364,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Policy
June 23,0.023591087811271297,0,18,0.0980948,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/June_23
Western,0.022280471821756225,0,17,0.7068,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Western_world
Iran,0.022280471821756225,0,17,0.8874,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Iran
Stalin,0.020969855832241154,1,12,0.7637,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Joseph_Stalin
United Nations,0.020969855832241154,0,16,0.8082,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_Nations
North Korea,0.020969855832241154,0,16,0.9143,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/North_Korea
Ecuador,0.020969855832241154,0,16,0.8936,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Ecuador
Merry Christmas,0.019659239842726082,0,15,0.6954,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Christmas
European Union,0.01834862385321101,0,14,0.8588,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/European_Union
Vyacheslav Nikonov,0.01834862385321101,0,14,0.8703,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Vyacheslav_Nikonov
NATO,0.01834862385321101,0,14,0.8651,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/NATO
China,0.01834862385321101,0,14,0.8178,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/China
Soviet Union,0.01703800786369594,0,13,0.857,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Soviet_Union
Glenn Greenwald,0.01703800786369594,0,13,1.29388,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Glenn_Greenwald
Air Force,0.015727391874180863,1,8,0.0967389,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Air_Force_One
Interfax,0.015727391874180863,0,12,0.8347,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Interfax
Great Britain,0.015727391874180863,0,12,0.7811,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_Kingdom
New York Times,0.015727391874180863,0,12,0.861,http://nerd.eurecom.fr/ontology#Product,http://dbpedia.org/resource/The_New_York_Times
Evo Morales,0.015727391874180863,0,12,1.07828,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Evo_Morales
