Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
George Zimmerman,1.0,5,553,1.05492,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/George_Zimmerman
Martin,0.6527050610820244,3,362,0.0619664,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Lockheed_Martin
Florida,0.24083769633507854,1,134,0.772,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Florida
United States of America.,0.16753926701570682,5,76,1.25735,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/United_States
Alexander,0.12216404886561955,0,70,0.0698011,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Alexander_II_of_Russia
Sanford Fla,0.11518324607329843,0,66,0.8904,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Sanford,_Florida
African-American,0.09598603839441536,0,55,0.8856,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/African_American
Gray,0.07329842931937172,0,42,0.0231634,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Gray_%28unit%29
U.S. Justice Department,0.06980802792321117,1,36,0.8272,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/United_States_Department_of_Justice
Miami,0.06806282722513089,0,39,0.7932,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Miami
Black people,0.06457242582897033,1,33,0.7646,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Black_people
New York City,0.06108202443280977,1,31,0.8334,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/New_York_City
July 15,0.06108202443280977,0,35,0.111168,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/July_15
president Barack Obama,0.059336823734729496,1,30,1.02774,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Barack_Obama
National Association for the Advancement of Coloured People,0.059336823734729496,0,34,0.9322,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/National_Association_for_the_Advancement_of_Colored_People
Stand Your Ground law,0.059336823734729496,0,34,0.8934,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Stand-your-ground_law
