Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
Mohamed Morsi,1.0,6,865,1.742,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Mohamed_Morsi
Egypt,0.6625421822272216,4,573,0.8781,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Egypt
Egyptian President,0.46569178852643417,3,402,0.7857,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/President_of_Egypt
Muslim Brotherhood,0.41394825646794153,0,368,2.13691,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Muslim_Brotherhood
Cairo,0.3892013498312711,3,334,0.8581,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Cairo
Islamist movement,0.2857142857142857,0,254,1.29841,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Islamism
protester,0.2845894263217098,1,249,0.742,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Protest
demonstration,0.2440944881889764,1,213,0.7618,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Demonstration_(protest)
armed forces,0.23172103487064116,0,206,0.7508,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Military
Field Army,0.1856017997750281,0,165,0.7182,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Army
Egyptians,0.18335208098987626,0,163,0.7597,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Egyptians
democratic,0.16985376827896512,0,151,0.7789,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Democracy
Twitter,0.1608548931383577,0,143,0.8409,http://nerd.eurecom.fr/ontology#Product,http://dbpedia.org/resource/Twitter
Tahrir Square,0.15860517435320584,2,133,1.54267,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Tahrir_Square
Constitution,0.15185601799775028,0,135,0.7564,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Constitution
government,0.13498312710911137,0,120,0.7344,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Government
police,0.12260967379077616,0,109,0.7207,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Police
country,0.11923509561304838,2,98,0.0890306,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Country
leaders,0.11586051743532058,0,103,0.6758,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Leadership
violence,0.11473565804274466,1,98,0.7218,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Violence
coup d'etat,0.1124859392575928,0,100,0.8122,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Coup_d'%C3%A9tat
power,0.10011248593925759,2,81,0.7205,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Power_(social_and_political)
Military coup,0.09448818897637795,0,84,0.7698,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/2013_Egyptian_coup_d'%C3%A9tat
fire,0.08998875140607424,0,80,0.6505,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Fire
Hosni Mubarak,0.08886389201349831,0,79,1.67025,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Hosni_Mubarak
July 3,0.08886389201349831,0,79,0.0534802,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/July_3
security,0.08661417322834646,0,77,0.6334,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Security
reports,0.08661417322834646,0,77,0.113333,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Report
p.m.,0.08661417322834646,0,77,0.0165359,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/P.M._Dawn
arrests,0.08548931383577053,0,76,0.7377,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Arrest
