Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
government,120.0,0,120,0.7344,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Government
coup d'etat,100.0,0,100,0.8122,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Coup_d'%C3%A9tat
Military coup,84.0,0,84,0.7698,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/2013_Egyptian_coup_d'%C3%A9tat
power,83.0,2,81,0.7205,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Power_(social_and_political)
security,77.0,0,77,0.6334,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Security
arrests,76.0,0,76,0.7377,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Arrest
el-Arish,74.0,0,74,0.864,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Arish
Chief,68.0,0,68,0.0920527,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Chief_of_staff
crowd,64.0,1,63,0.15624,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Crowd
opposition,63.0,1,62,0.187992,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Opposition_%28politics%29
Abdel-Fattah El-Sisi,59.0,0,59,0.8952,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Abdel_Fattah_el-Sisi
Egyptians,40.75,0,163,0.7597,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Egyptians
police,27.25,0,109,0.7207,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Police
violence,24.75,1,98,0.7218,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Violence
official,17.5,0,70,0.6418,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Official
streets,17.25,0,69,0.0414543,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Lupe_Fiasco
head,16.25,0,65,0.140359,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Head
tear gas,14.25,0,57,1.08834,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Tear_gas
soldier,14.25,0,57,0.6572,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Soldier
Middle East,10.75,1,42,0.7872,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Middle_East
Islamist movement,10.16,0,254,1.29841,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Islamism
democratic,9.4375,0,151,0.7789,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Democracy
Twitter,8.9375,0,143,0.8409,http://nerd.eurecom.fr/ontology#Product,http://dbpedia.org/resource/Twitter
Constitution,8.4375,0,135,0.7564,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Constitution
Republican Guard,7.0,0,63,0.8575,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Army_of_the_Guardians_of_the_Islamic_Revolution
