Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
Tokyo Electric Power Company,1.0,5,363,1.91924,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Tokyo_Electric_Power_Company
Fukushima Daiichi nuclear disaster,0.7780678851174935,3,286,0.9278,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Fukushima_Daiichi_nuclear_disaster
plant,0.7467362924281984,5,266,0.162785,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Plant
radioactive,0.6997389033942559,4,252,0.807,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Radioactive_decay
nuclear reactor,0.5117493472584856,3,184,1.55413,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Nuclear_reactor
H2O,0.5013054830287206,0,192,0.7994,http://nerd.eurecom.fr/ontology#Product,http://dbpedia.org/resource/Water
oceanic,0.37597911227154046,1,140,0.7225,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Ocean
radiation,0.370757180156658,0,142,0.7629,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Radiation
Japan,0.3577023498694517,1,133,0.8429,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Japan
groundwater,0.3577023498694517,0,137,0.8001,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Groundwater
ocean? ?sea,0.2689295039164491,0,103,0.675,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Sea
contaminant,0.26370757180156656,1,97,0.7098,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Contamination
Nuclear Power Plant,0.24281984334203655,1,89,0.8105,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Nuclear_power
leak,0.2402088772845953,1,88,0.133355,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Leak
cesium,0.21409921671018275,0,82,1.06964,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Caesium
levels,0.21148825065274152,1,77,0.0942724,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/GCE_Advanced_Level
containment,0.1801566579634465,0,69,0.7088,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Containment_building
steam,0.17754569190600522,2,60,0.7178,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Steam
utility,0.17754569190600522,0,68,0.6661,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Utility
seawater,0.17493472584856398,0,67,0.7526,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Seawater
Pacific Ocean,0.1671018276762402,0,64,0.8542,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Pacific_Ocean
cancer,0.16449086161879894,2,55,0.7348,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Cancer
nuclear fuel,0.1618798955613577,0,62,0.986032,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Nuclear_fuel
China Syndrome,0.15404699738903394,1,55,0.8971,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Nuclear_meltdown
Fukushima Daiichi Nuclear Power Plant,0.14882506527415143,0,57,1.38901,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Fukushima_Daiichi_Nuclear_Power_Plant
tritium,0.1462140992167102,0,56,1.55137,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Tritium
problem,0.1409921671018277,1,50,0.036506,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Problem
risk,0.13315926892950392,0,51,0.711,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Risk
scientifically,0.13054830287206268,0,50,0.7172,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Science
times,0.13054830287206268,0,50,0.127601,http://nerd.eurecom.fr/ontology#Product,http://dbpedia.org/resource/The_Times
earthquake,0.1227154046997389,0,47,0.75,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Earthquake
operator,0.1227154046997389,0,47,0.0768498,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Special_forces
Bq,0.1227154046997389,0,47,0.829,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Becquerel
fish,0.1174934725848564,0,45,0.7539,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Fish
nuclear accident,0.11488250652741515,0,44,0.8037,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Nuclear_and_radiation_accidents_and_incidents
USA,0.1122715404699739,0,43,0.7054,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_States
Companies,0.10966057441253264,1,38,0.151696,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Company
No. 1,0.10966057441253264,0,42,0.062761,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/1_%28number%29
news conference,0.10966057441253264,0,42,0.6332,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/News_conference
Nuclear Regulation Authority,0.10966057441253264,0,42,0.9094,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Nuclear_Regulation_Authority
liter,0.10966057441253264,0,42,0.7404,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Litre
Japanese,0.10704960835509138,1,37,0.100238,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Japanese_people
regulation,0.10704960835509138,0,41,0.7188,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Regulation
test,0.10443864229765012,0,40,0.169981,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Test_cricket
workers,0.10182767624020887,1,35,0.0349929,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Laborer
night,0.09921671018276762,0,38,0.6508,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Night
corium,0.09660574412532637,1,33,1.11237,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Corium_(nuclear_reactor)
air,0.09660574412532637,0,37,0.71,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Atmosphere_of_Earth
national government,0.09660574412532637,0,37,0.6882,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Government
blast,0.09399477806788512,0,36,0.6683,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Explosion
