Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
utility,68.0,0,68,0.6661,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Utility
Pacific Ocean,64.0,0,64,0.8542,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Pacific_Ocean
nuclear fuel,62.0,0,62,0.986032,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Nuclear_fuel
cancer,57.0,2,55,0.7348,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Cancer
China Syndrome,56.0,1,55,0.8971,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Nuclear_meltdown
problem,51.0,1,50,0.036506,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Problem
containment,17.25,0,69,0.7088,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Containment_building
steam,15.5,2,60,0.7178,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Steam
news conference,10.5,0,42,0.6332,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/News_conference
Nuclear Regulation Authority,10.5,0,42,0.9094,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Nuclear_Regulation_Authority
earthquake,5.222222222222222,0,47,0.75,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Earthquake
operator,5.222222222222222,0,47,0.0768498,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Special_forces
nuclear accident,4.888888888888889,0,44,0.8037,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Nuclear_and_radiation_accidents_and_incidents
Companies,4.333333333333333,1,38,0.151696,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Company
Japanese,4.222222222222222,1,37,0.100238,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Japanese_people
ocean? ?sea,4.12,0,103,0.675,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Sea
radiation,3.9444444444444446,0,142,0.7629,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Radiation
contaminant,3.92,1,97,0.7098,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Contamination
experts,3.7777777777777777,0,34,0.0869411,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Expert
seawater,2.68,0,67,0.7526,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Seawater
cesium,2.2777777777777777,0,82,1.06964,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Caesium
building,2.1875,0,35,0.7004,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Building
risk,2.04,0,51,0.711,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Risk
times,2.0,0,50,0.127601,http://nerd.eurecom.fr/ontology#Product,http://dbpedia.org/resource/The_Times
leak,1.816326530612245,1,88,0.133355,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Leak
test,1.6,0,40,0.169981,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Test_cricket
Fukushima Daiichi Nuclear Power Plant,1.5833333333333333,0,57,1.38901,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Fukushima_Daiichi_Nuclear_Power_Plant
Nuclear Power Plant,1.40625,1,89,0.8105,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Nuclear_power
tsunami,1.32,0,33,0.8112,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Tsunami
levels,1.21875,1,77,0.0942724,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/GCE_Advanced_Level
tritium,1.1428571428571428,0,56,1.55137,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Tritium
H2O,0.9795918367346939,0,192,0.7994,http://nerd.eurecom.fr/ontology#Product,http://dbpedia.org/resource/Water
27 July,0.9722222222222222,0,35,0.00435539,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/July_27
No. 1,0.8571428571428571,0,42,0.062761,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/1_%28number%29
nuclear reactor,0.73046875,3,184,1.55413,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Nuclear_reactor
Tokyo Electric Power Company,0.6388888888888888,5,363,1.91924,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Tokyo_Electric_Power_Company
groundwater,0.6088888888888889,0,137,0.8001,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Groundwater
Fukushima Daiichi nuclear disaster,0.5971074380165289,3,286,0.9278,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Fukushima_Daiichi_nuclear_disaster
air,0.578125,0,37,0.71,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Atmosphere_of_Earth
workers,0.5625,1,35,0.0349929,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Laborer
fish,0.5555555555555556,0,45,0.7539,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Fish
plant,0.5122873345935728,5,266,0.162785,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Plant
regulation,0.5061728395061729,0,41,0.7188,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Regulation
radioactive,0.4444444444444444,4,252,0.807,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Radioactive_decay
soil,0.4375,0,28,0.721,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Soil
NRA,0.43209876543209874,0,35,0.7105,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/National_Rifle_Association
Japan,0.41358024691358025,1,133,0.8429,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Japan
scientifically,0.4132231404958678,0,50,0.7172,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Science
oceanic,0.39058171745152354,1,140,0.7225,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Ocean
national government,0.37,0,37,0.6882,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Government
