Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
Edward Snowden,0.9790301441677588,2,739,2.25896,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Edward_Snowden
Russia,0.63564875491481,6,461,0.869,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Russia
United States,0.617300131061599,3,459,0.7758,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_States
Vladimir Putin,0.40104849279161203,0,306,1.78211,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Vladimir_Putin
political asylum,0.3761467889908257,4,271,0.8264,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Right_of_asylum
Russian President,0.27916120576671033,3,201,0.8253,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/President_of_Russia
Latin America,0.20314547837483618,1,151,0.8197,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Latin_America
human rights violations,0.18610747051114024,1,138,0.900354,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Human_rights
Moscow,0.17300131061598953,0,132,0.82,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Moscow
airport,0.16251638269986893,2,116,0.6452,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Airport
countries,0.1559633027522936,1,115,0.117158,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Country
Barack Obama,0.12319790301441677,1,90,1.66995,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Barack_Obama
National Security Agency,0.11009174311926606,0,84,2.32738,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/National_Security_Agency
government,0.10091743119266056,0,77,0.702,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Government
Venezuela,0.0982961992136304,1,71,0.8885,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Venezuela
transit,0.09567496723460026,2,65,0.129394,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Public_transport
extradition,0.08387942332896461,1,60,0.7624,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Extradition
espionage,0.08125819134993446,0,62,0.7758,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Espionage
Russians,0.0799475753604194,0,61,0.7306,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Russians
meeting,0.0799475753604194,0,61,0.107076,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Meeting
surveillance,0.07339449541284404,0,56,0.7308,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Surveillance
military intelligence,0.07077326343381389,0,54,0.7637,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Military_intelligence
Washington,0.06946264744429882,0,53,0.7005,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Washington,_D.C.
lawyer,0.0655307994757536,0,50,0.7124,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Lawyer
US Department of State,0.06422018348623854,0,49,0.8359,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/United_States_Department_of_State
national security,0.06290956749672345,0,48,0.736,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/National_security
Kremlin,0.061598951507208385,1,43,0.7689,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Kremlin
organizations,0.0563564875491481,0,43,0.0696746,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Organization
law,0.05504587155963303,1,38,0.6858,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Law
Sheremetyevo International Airport,0.05504587155963303,0,42,0.9141,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Sheremetyevo_International_Airport
Bolivia,0.05242463958060288,1,36,0.8982,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Bolivia
classified information,0.05242463958060288,0,40,0.7781,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Classified_information
news conference,0.05111402359108781,0,39,0.0781884,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/News_conference
contractor,0.05111402359108781,0,39,0.00842767,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/David_Storey
