Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
extradition,61.0,1,60,0.7624,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Extradition
military intelligence,54.0,0,54,0.7637,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Military_intelligence
contractor,39.0,0,39,0.00842767,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/David_Storey
Bolivia,37.0,1,36,0.8982,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Bolivia
Nicaragua,32.0,1,31,0.8966,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Nicaragua
meeting,15.25,0,61,0.107076,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Meeting
surveillance,14.0,0,56,0.7308,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Surveillance
Washington,13.25,0,53,0.7005,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Washington,_D.C.
lawyer,12.5,0,50,0.7124,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Lawyer
Sheremetyevo International Airport,10.5,0,42,0.9141,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Sheremetyevo_International_Airport
Barack Obama,10.11111111111111,1,90,1.66995,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Barack_Obama
government,8.555555555555555,0,77,0.702,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Government
Venezuela,8.0,1,71,0.8885,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Venezuela
Russians,6.777777777777778,0,61,0.7306,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Russians
Kremlin,4.888888888888889,1,43,0.7689,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Kremlin
law,4.333333333333333,1,38,0.6858,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Law
organizations,2.6875,0,43,0.0696746,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Organization
whistleblower,2.0625,0,33,0.8519,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Whistleblower
national security,1.92,0,48,0.736,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/National_security
classified information,1.6,0,40,0.7781,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Classified_information
news conference,1.56,0,39,0.0781884,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/News_conference
human rights violations,1.39,1,138,0.900354,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Human_rights
bilateral relations,1.36,0,34,0.734,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Bilateralism
Hong Kong,1.32,0,33,1.72221,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Hong_Kong
Federal Migration Service,1.2,1,29,0.8874,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Federal_Migration_Service_(Russia)
Edward Snowden,1.1856,2,739,2.25896,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Edward_Snowden
Wikileaks,1.0277777777777777,0,37,1.00946,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/WikiLeaks
espionage,0.96875,0,62,0.7758,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Espionage
cooperative,0.9166666666666666,1,32,0.6416,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Cooperation
June 23,0.88,0,22,0.0980948,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/June_23
National Security Agency,0.84,0,84,2.32738,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/National_Security_Agency
flight,0.8333333333333334,0,30,0.101389,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Flight
United States,0.8020833333333334,3,459,0.7758,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_States
activist,0.7777777777777778,0,28,0.6713,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Activism
US Department of State,0.765625,0,49,0.8359,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/United_States_Department_of_State
White House,0.7551020408163265,0,37,0.8297,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/White_House
Russia,0.7472,6,461,0.869,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Russia
news agencies,0.6122448979591837,0,30,0.7067,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/News_agency
leaders,0.5918367346938775,0,29,0.649,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Leadership
elected officials,0.578125,0,37,0.6394,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Official
transit,0.5537190082644629,2,65,0.129394,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Public_transport
counterterrorism,0.5510204081632653,0,27,0.8042,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Counter-terrorism
Vladimir Putin,0.53125,0,306,1.78211,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Vladimir_Putin
Moscow,0.515625,0,132,0.82,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Moscow
passport,0.5102040816326531,0,25,0.7238,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Passport
right to privacy,0.5,0,32,0.8081,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Privacy
political asylum,0.4774305555555556,4,271,0.8264,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Right_of_asylum
Russian President,0.46258503401360546,3,201,0.8253,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/President_of_Russia
