Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
George Zimmerman,1.0,5,556,1.05492,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/George_Zimmerman
Martin,0.703125,3,393,0.0619664,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Lockheed_Martin
verdict,0.3402777777777778,0,196,0.6846,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Verdict
jury,0.2795138888888889,1,157,0.7438,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Jury
self defense,0.2690972222222222,1,151,0.7471,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Self-defense
Black people,0.2552083333333333,1,143,0.7646,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Black_people
Florida,0.2465277777777778,1,138,0.772,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Florida
protests,0.22395833333333334,1,125,0.7091,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Protest
law,0.2222222222222222,1,124,0.711,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Law
police officer,0.2170138888888889,0,125,0.7377,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Police
acquitted,0.21354166666666666,3,111,0.7309,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Acquittal
trial,0.21006944444444445,0,121,0.7286,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Trial
second-degree murder,0.19791666666666666,1,110,1.15679,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Murder
United States of America.,0.18229166666666666,5,85,1.25735,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/United_States
prosecution,0.18229166666666666,0,105,0.739,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Prosecutor
white people,0.1753472222222222,0,101,0.7678,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/White_people
civil rights,0.171875,1,95,0.7989,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Civil_and_political_rights
evidence,0.1701388888888889,0,98,0.7401,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Evidence
discrimination,0.1684027777777778,0,97,0.7284,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Discrimination
justice,0.16319444444444445,1,90,0.7267,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Justice
African-American,0.13541666666666666,0,78,0.8856,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/African_American
racial,0.13368055555555555,0,77,0.7086,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Race_(human_classification)
criminal attorney,0.13194444444444445,1,72,0.6918,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Lawyer
race baiters,0.13194444444444445,0,76,0.8863,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Racism
crime,0.1284722222222222,1,70,0.7093,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Crime
Alexander,0.12152777777777778,0,70,0.0698011,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Alexander_II_of_Russia
Sanford Fla,0.11458333333333333,0,66,0.8904,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Sanford,_Florida
fatal,0.11284722222222222,1,61,0.7131,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Death
gun,0.109375,2,55,0.6293,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Gun
Gray,0.109375,0,63,0.0231634,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Gray_%28unit%29
tragedy,0.10416666666666667,1,56,0.120397,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Tragedy_%28event%29
person,0.09895833333333333,0,57,0.7276,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Person
neighborhood,0.0954861111111111,1,51,0.635,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Neighbourhood
fears,0.0954861111111111,1,51,0.6957,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Fear
Hoodie,0.09375,0,54,0.7819,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Hoodie
right,0.08854166666666667,0,51,0.7319,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Rights
country,0.08680555555555555,0,50,0.108078,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Country_music
Cars,0.08506944444444445,0,49,0.6483,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Automobile
Los Angeles,0.08159722222222222,1,43,0.765,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Los_Angeles
prison,0.08159722222222222,1,43,0.7275,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Prison
will,0.08159722222222222,0,47,0.7372,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Will_and_testament
courtroom,0.0798611111111111,1,42,0.188402,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Courtroom
Stand Your Ground? law,0.0798611111111111,0,46,0.891,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Stand-your-ground_law
parents,0.0798611111111111,0,46,0.631,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Parent
president Barack Obama,0.0763888888888889,1,40,1.02774,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Barack_Obama
hide,0.0763888888888889,1,40,0.0106014,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Hide_%28musician%29
witnesses,0.0763888888888889,0,44,0.7032,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Witness
demonstrations,0.0763888888888889,0,44,0.7449,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Demonstration_(protest)
testify,0.07291666666666667,0,42,0.713,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Testimony
conversations,0.07291666666666667,0,42,0.638,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Conversation
