Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
discrimination,97.0,0,97,0.7284,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Discrimination
civil rights,96.0,1,95,0.7989,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Civil_and_political_rights
Sanford Fla,66.0,0,66,0.8904,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Sanford,_Florida
fatal,62.0,1,61,0.7131,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Death
Hoodie,54.0,0,54,0.7819,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Hoodie
neighborhood,52.0,1,51,0.635,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Neighbourhood
country,50.0,0,50,0.108078,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Country_music
Cars,49.0,0,49,0.6483,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Automobile
teenager,36.0,0,36,0.6797,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Adolescence
race baiters,19.0,0,76,0.8863,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Racism
fears,13.0,1,51,0.6957,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Fear
prosecution,11.666666666666666,0,105,0.739,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Prosecutor
white people,11.222222222222221,0,101,0.7678,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/White_people
United States of America.,10.0,5,85,1.25735,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/United_States
street,9.0,0,36,0.0870526,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Street
African-American,8.666666666666666,0,78,0.8856,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/African_American
racial,8.555555555555555,0,77,0.7086,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Race_(human_classification)
crime,7.888888888888889,1,70,0.7093,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Crime
gun,6.333333333333333,2,55,0.6293,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Gun
evidence,6.125,0,98,0.7401,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Evidence
Men,4.111111111111111,0,37,0.0423142,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Man
tragedy,3.5625,1,56,0.120397,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Tragedy_%28event%29
person,3.5625,0,57,0.7276,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Person
police officer,3.4722222222222223,0,125,0.7377,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Police
family,3.4444444444444446,0,31,0.7141,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Family
trial,3.361111111111111,0,121,0.7286,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Trial
parents,2.875,0,46,0.631,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Parent
protests,2.5714285714285716,1,125,0.7091,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Protest
president Barack Obama,2.5625,1,40,1.02774,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Barack_Obama
Black people,2.25,1,143,0.7646,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Black_people
criminal attorney,2.0277777777777777,1,72,0.6918,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Lawyer
will,1.88,0,47,0.7372,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Will_and_testament
self defense,1.876543209876543,1,151,0.7471,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Self-defense
justice,1.8571428571428572,1,90,0.7267,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Justice
Los Angeles,1.76,1,43,0.765,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Los_Angeles
verdict,1.6198347107438016,0,196,0.6846,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Verdict
shooting,1.6,0,40,0.106149,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Shooting
political,1.6,0,40,0.6811,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Politics
state,1.56,0,39,0.707,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/State_(polity)
law,1.25,1,124,0.711,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Law
prison,1.2222222222222223,1,43,0.7275,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Prison
conversations,1.1666666666666667,0,42,0.638,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Conversation
jury,1.0972222222222223,1,157,0.7438,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Jury
Martin,0.99,3,393,0.0619664,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Lockheed_Martin
George Zimmerman,0.9739583333333334,5,556,1.05492,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/George_Zimmerman
communities,0.8367346938775511,0,41,0.6807,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Community
Florida,0.8224852071005917,1,138,0.772,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Florida
right,0.796875,0,51,0.7319,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Rights
charges,0.7959183673469388,0,39,0.7392,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Indictment
second-degree murder,0.7708333333333334,1,110,1.15679,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Murder
