Entity Label,RANKING
band aid,0.8
Bob Geldof,0.7
Midge Ure,0.6
Emeli Sande,0.5
One Direction,0.5
Ed Sheeran,0.5
Sinead O'Connor,0.4
Paloma Faith,0.4
Olly Murs,0.4
Jessie Ware,0.4
Bono,0.4
Ellie Goulding,0.4
Elbow,0.4
Rita Ora,0.4
Underworld,0.4
Seal,0.4
Angelique Kidjo,0.4
Clean Bandit,0.4
Chris Martin,0.4
Dan Smith,0.4
Sam Smith,0.4
Radiohead,0.3
George Michael,0.3
Coldplay,0.3
Kylie Minogue,0.3
Sting,0.2
Sonia,0.2
Bananarama,0.2
Ultravox,0.2
Ethiopia,0.2
U2,0.2
Dizzee Rascal,0.2
Queen,0.2
Ms Dynamite,0.2
Sierra Leone,0.2
Bastille ,0.2
Duran Duran,0.1
EMI,0.1
Africa,0
United Kingdom,0
Florence Welch,-0.2
Sony,-0.4
Greg Cochrane,-0.6
