Entity Label,RANKING
Ashraf Ghani,0.7
Afghanistan,0.6
Abu Zubaydah,0.5
Al-Qaeda,0.4
Aleksander Kwasniewski,0.4
Central Intelligence Agency,0.3
Defense Intelligence Agency,0.3
Chinese Foreign Ministry,0.3
Dianne Feinstein,0.3
Guantanamo Bay,0.3
Mark Udall,0.3
Frank-Walter Steinmeier,0.3
Hong Lei,0.3
Bush administration,0.2
International Committee of the Red Cross,0.1
John Brennan,0.1
United Nations Security Council,0.1
Poland,0.1
Iran,0.1
Rights,0
UN,0
Beijing,0
white house,-0.1
Ramzan Kadyrov,-0.3
