Entity Label,RANKING
Scottish Parliament,0.7
Lord Smith of Kelvin,0.7
Scottish National Party,0.6
Alex Salmond,0.6
Scotland,0.6
Conservative Party,0.6
Socialist Party,0.6
Nicola Sturgeon,0.5
Liberal Democrats,0.5
Jim Murphy,0.5
Jim Sillars,0.4
John Swinney,0.4
Nick Clegg,0.3
David Cameron,0.2
UK,0.2
Fife,0.2
Aberdeenshire,0.2
Alistar Darling,0.2
Ed Miliband,0.2
House of Commons,0.2
John Major,0.2
Westminster,0.1
UK Independence Party,0.1
Donald Dewar,-0.2
East Ayrshire,-0.5
East Dunbartonshire,-0.5
East Lothian,-0.5
East Renfrewshire,-0.5
Edinburgh,-0.5
Eilean Siar,-0.5
Falkirk,-0.5
Fife,-0.5
Glasgow,-0.5
Highland,-0.5
Inverclyde,-0.5
Midlothian,-0.5
Moray,-0.5
North Lanarkshire,-0.5
Orkney,-0.5
Perth,-0.5
Renfrewshire,-0.5
South Lanarkshire,-0.5
Shetland,-0.5
Stirling,-0.5
