Entity Label,RANKING,
Edward Davey,0.4,"Appears on the video, Secretary of the state in climate change"
COP20,0.9,
Lima,0.3,
United Nations,0.3,
Greenpeace,0.2,
Union of Concerned Scientists,0.2,
Arctic,0,
Peru,0.4,
John Kerry,0.3,He is going to Peru to attend the meeting
Manuel Pulgar Vidal,0.5,Peru environement president
James Hansen,0.3,
Ban Ki-moon,0.1,Secretario Naciones Unidas
Intergovernmental Panel on Climate Change,0.4,Organization
Christiana Figueres,0.5,Executive Secretary of the UN Framework Convention on Climate Change (UNFCCC)
Mar’a Luisa Silva,0.3,
