ENTITY,TYPE, URL
East Ayrshire,GPE, http://en.wikipedia.org/wiki/East_Ayrshire
East Dunbartonshire,GPE, http://en.wikipedia.org/wiki/East_Dunbartonshire
East Lothian,GPE, http://en.wikipedia.org/wiki/East_Lothian
East Renfrewshire,GPE, http://en.wikipedia.org/wiki/East_Renfrewshire
Edinburgh,GPE, http://en.wikipedia.org/wiki/Edinburgh
Eilean Siar,GPE, http://en.wikipedia.org/wiki/Comhairle_nan_Eilean_Siar
Falkirk,GPE, http://en.wikipedia.org/wiki/Falkirk_(council_area)
Fife,GPE, http://en.wikipedia.org/wiki/Fife
Glasgow,GPE, http://en.wikipedia.org/wiki/Glasgow
Highland,GPE, http://en.wikipedia.org/wiki/Highland_%28council_area%29
Inverclyde,GPE, http://en.wikipedia.org/wiki/Inverclyde
Midlothian,GPE, http://en.wikipedia.org/wiki/Midlothian
Moray,GPE, http://en.wikipedia.org/wiki/Moray
North Lanarkshire,GPE, http://en.wikipedia.org/wiki/North_Lanarkshire
Orkney,GPE, http://en.wikipedia.org/wiki/Orkney
Perth,GPE, http://en.wikipedia.org/wiki/Perth_and_Kinross_Council
Renfrewshire,GPE, http://en.wikipedia.org/wiki/Renfrewshire
South Lanarkshire,GPE, http://en.wikipedia.org/wiki/South_Lanarkshire
Scotland,GPE, http://en.wikipedia.org/wiki/Scotland
Shetland,GPE, http://en.wikipedia.org/wiki/Shetland_Islands_Council
Stirling,GPE, http://en.wikipedia.org/wiki/Stirling_%28council_area%29
David Cameron,PER, http://en.wikipedia.org/wiki/David_Cameron
Alistar Darling,PER, http://en.wikipedia.org/wiki/Alistair_Darling
