Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
Central Intelligence Agency,0.5779928315412182,4,530,6.5382,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Central_Intelligence_Agency
United States Senate,0.5067741935483872,1,168,0.8632,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/United_States_Senate
United States of America,0.4034408602150532,7,349,1.68418,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/United_States
George W. Bush,0.19053763440860208,0,93,9.20781,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/George_W._Bush
US president,0.16924731182795694,2,41,0.996442,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/President_of_the_United_States
United States Senate,0.1658064516129032,0,37,1.25592,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/United_States_Senate
US Department of Justice,0.1588172043010753,0,46,3.43372,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/United_States_Department_of_Justice
American,0.15232974910394265,0,67,0.6965,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Americans
Barack Obama's,0.13648745519713265,0,75,8.97632,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Barack_Obama
Torture,0.13168458781362008,2,113,0.7958,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Torture
George W. Bush administration,0.11677419354838707,0,53,2.24539,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Presidency_of_George_W._Bush
Democratic Party,0.09688172043010751,0,33,0.870846,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Democratic_Party_(United_States)
Republican Party,0.08623655913978497,0,29,1.35898,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Republican_Party_(United_States)
Defense Intelligence Agency,0.07935483870967742,0,21,2.01395,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Defense_Intelligence_Agency
The Washington Post,0.07931899641577059,2,64,0.8981,http://nerd.eurecom.fr/ontology#Product,http://dbpedia.org/resource/The_Washington_Post
Poland,0.07896057347670249,2,64,0.777,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Polish_People's_Republic
ABC News,0.078494623655914,0,23,0.8666,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/ABC_News
CNN.com,0.07827956989247314,0,21,2.78623,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/CNN
Interrogation,0.07670250896057347,1,66,0.7456,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Interrogation
Afghanistan,0.07293906810035841,2,66,1.16457,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Afghanistan
El Universo,0.07290322580645162,1,11,0.7306,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/El_Universo
Dianne Feinstein,0.06716845878136204,0,33,1.40806,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Dianne_Feinstein
