Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
HSBC Holdings Plc,1.5893534482758631,6,432,1.50372,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/HSBC
Center for Public Integrity,0.5075431034482757,1,148,0.8982,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Center_for_Public_Integrity
BBC,0.2595258620689656,2,60,0.903578,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/BBC
Switzerland,0.21754310344827602,1,190,0.8206,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Switzerland
Britons,0.146896551724138,1,121,1.20955,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/United_Kingdom
Stephen Green,0.12008620689655174,2,32,0.8809,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Stephen_Green,_Baron_Green_of_Hurstpierpoint
HM Revenue and Customs,0.1143103448275862,0,36,1.21204,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/HM_Revenue_and_Customs
Labour party,0.1131465517241379,2,17,0.8283,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Labour_Party_(UK)
France,0.10525862068965526,1,84,0.8034,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/France
David Gauke,0.09879310344827585,3,19,0.8996,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/David_Gauke
Tax,0.09564655172413794,8,25,0.7014,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Tax
Swiss bank account,0.054827586206896546,0,53,0.912345,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Banking_in_Switzerland
Conservative,0.05482758620689654,1,10,0.7919,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Conservative_Party_(UK)
United States,0.053749999999999985,0,48,1.04965,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/United_States
Margaret Hodge,0.05224137931034483,0,21,0.9158,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Margaret_Hodge
Le Monde,0.04913793103448275,2,27,0.7921,http://nerd.eurecom.fr/ontology#Product,http://dbpedia.org/resource/Le_Monde
