Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
BBC,0.6355932203389834,0,37,0.7832,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/BBC
coin,0.5148305084745762,15,2,0.7042,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Coin
USA,0.4498587570621467,5,58,0.587347,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/United_States
bond,0.2994350282485875,8,5,0.6956,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Bond_(finance)
Zimbabwe,0.24223163841807901,2,25,0.8621,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Zimbabwe
Chinese government,0.20197740112994356,0,36,1.00405,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/China
Japan,0.1906779661016949,0,44,0.8072,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Japan
Economics,0.17019774011299438,3,13,0.7081,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Economics
Consumer Price Index,0.1659604519774011,0,40,1.76885,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Consumer_price_index
Britain,0.16313559322033896,0,29,0.885358,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/United_Kingdom
Monetary,0.16242937853107348,4,5,0.7109,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Money
India,0.15254237288135586,0,29,0.8332,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/India
Europe,0.13629943502824854,0,26,0.7202,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Europe
GDP deflator,0.13559322033898305,0,32,0.9101,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/GDP_deflator
Zimbabwe,0.1207627118644068,1,12,0.848,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Zimbabwe
central bank,0.12005649717514123,3,3,0.7611,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Central_bank
Cranfield University,0.11864406779661016,0,7,0.8757,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Cranfield_University
Federal Reserve,0.10028248587570625,0,23,0.805,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Federal_Reserve_System
Bank,0.09957627118644068,2,6,0.6941,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Bank
Greece,0.09463276836158191,0,18,0.8117,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Ancient_Greece
Argentine,0.09322033898305085,0,21,0.857239,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Argentina
Duration,0.09110169491525423,0,15,0.00294948,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Duration_%28music%29
RBZ,0.0903954802259887,0,16,0.7874,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Reserve_Bank_of_Zimbabwe
supermarkets,0.08474576271186442,2,5,0.6774,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Supermarket
Asia,0.08403954802259886,0,16,0.7085,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Asia
benefit,0.08333333333333333,2,3,0.6798,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Welfare
consumers,0.07909604519774012,2,2,0.6891,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Consumer
Quantitative Easing,0.07838983050847459,1,11,2.15428,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Quantitative_easing
ECB,0.07768361581920905,0,18,0.8234,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/European_Central_Bank
Germany,0.0769774011299435,0,15,0.7724,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Germany
Africa,0.07627118644067798,0,13,0.7046,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Africa
Budget,0.07627118644067797,0,12,0.6757,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Budget
Ukraine,0.07627118644067797,0,14,0.8538,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Ukraine
Republican,0.07627118644067797,0,5,0.7906,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Republican_Party_(United_States)
PayPal,0.07627118644067797,0,9,0.988281,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/PayPal
New Zealand,0.06920903954802259,0,21,0.8129,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/New_Zealand
Narendra Modi,0.06779661016949151,0,6,0.9125,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Narendra_Modi
New York,0.059322033898305086,0,11,0.6671,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/New_York
Scotland,0.05861581920903955,0,11,0.8255,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Scotland
Greek Prime Minister,0.05720338983050848,0,10,0.498589,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Prime_Minister_of_Greece
South African,0.056497175141242945,1,4,0.684,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/South_African_English
Nigeria,0.05649717514124294,0,10,0.8671,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Nigeria
can,0.05508474576271186,1,4,0.6621,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Andean_Community_of_Nations
GDP per capita,0.05508474576271186,0,13,0.7696,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Gross_domestic_product
Czech,0.05508474576271186,0,13,0.6898,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Czech_language
President,0.05437853107344633,0,10,0.658,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/President_of_the_United_States
currencies,0.050847457627118654,1,3,0.7166,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Currency
HSBC,0.05084745762711865,0,9,0.8204,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/HSBC
Iran,0.05084745762711865,0,11,0.8715,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Iran
FTN,0.05084745762711865,0,3,0.796,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Ftn
