Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
Food and Drug Administration,0.5287500000000019,0,256,4.46665,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Food_and_Drug_Administration
Methicillin-resistant Staphylococcus aureus,0.5029054054054027,0,576,1.93507,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Methicillin-resistant_Staphylococcus_aureus
Daisy,0.35783783783783657,0,161,0.00772428,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Daisy_Duck
U.S.A,0.2726689189189183,0,453,1.06718,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/United_States
Staphylococcus aureus,0.19114864864864697,0,246,2.84776,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Staphylococcus_aureus
PUBMED,0.18449324324324215,0,202,0.8707,http://nerd.eurecom.fr/ontology#Product,http://dbpedia.org/resource/PubMed
Securities and Exchange Commission,0.16489864864864864,0,57,1.67588,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/U.S._Securities_and_Exchange_Commission
Medtronic,0.1436148648648647,0,71,0.922048,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Medtronic
Physical,0.14290540540540547,4,124,0.7325,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Health
Company,0.14236486486486488,0,156,0.7313,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Company
Centers for Disease Control and Prevention,0.14097972972972977,0,56,3.33363,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Centers_for_Disease_Control_and_Prevention
Medical Instrument,0.1342229729729731,0,186,0.7917,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Medical_device
PerkinElmer Inc.,0.11945945945945936,0,115,0.8803,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/PerkinElmer
University of Houston,0.11300675675675662,0,118,1.28145,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/University_of_Houston
Form 10K,0.09753378378378363,0,98,0.8754,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Form_10-K
United Kingdom,0.08638513513513506,0,105,0.970189,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/United_Kingdom
Patients,0.08320945945945916,1,108,0.7247,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Patient
Company,0.08216216216216207,0,78,0.7245,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Company
Googling,0.07932432432432433,0,91,0.776,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Google
