Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
Lima Peru,0.5267137809187279,6,259,1.02227,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Lima
Paris,0.3900353356890464,3,196,0.7583,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Paris
United Nations,0.3798586572438169,1,187,0.8307,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_Nations
United States of America,0.31236749116607737,0,215,1.56136,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/United_States
Green Climate Fund,0.25886925795053,0,147,0.9032,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Green_Climate_Fund
India,0.21363957597173153,0,125,0.8422,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/India
Chinese government,0.2096113074204941,0,164,1.1494,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/China
United Nations Security Council,0.1725795053003533,0,34,3.77926,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/United_Nations_Security_Council
Barack Obama,0.13773851590106007,0,84,7.17701,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Barack_Obama
Intergovernmental Panel on Climate Change,0.1371731448763251,0,24,3.21413,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Intergovernmental_Panel_on_Climate_Change
United States Senate,0.13144876325088345,0,26,1.40383,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/United_States_Senate
E.U.,0.13060070671378066,0,101,6.5824,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/European_Union
Republican Party,0.1282685512367491,0,29,0.8287,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Republican_Party_(United_States)
European Commission,0.12572438162544175,0,38,0.854161,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/European_Commission
State Department,0.12445229681978795,0,40,0.7556,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/United_States_Department_of_State
SBI,0.12318021201413429,0,23,0.00968992,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/State_Bank_of_India
United Nations Framework Convention on Climate Change,0.12148409893992929,0,53,2.69867,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/United_Nations_Framework_Convention_on_Climate_Change
