Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
Bangla TV,1.842484472049686,0,103,0.9367,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Bangla_TV
Bengali,0.7453416149068304,0,125,0.8562,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Bengali_language
Rene,0.5398757763975152,0,67,0.0088383,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Rene_Russo
Essiac Tea,0.502484472049689,0,99,0.8861,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Essiac
Palliative Care,0.4240993788819877,9,52,2.10267,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Palliative_care
RTV,0.3756521739130437,0,21,0.7849,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/RTV_(Bangladesh)
Food and Drug Administration,0.3667080745341613,0,33,6.18705,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Food_and_Drug_Administration
Channel I,0.338385093167702,1,16,0.7927,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Channel_i
Physician,0.3318012422360249,8,36,0.7339,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Physician
Cancer Therapy,0.31788819875776436,0,67,5.37236,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Cancer
TV news,0.2967701863354039,0,52,0.6298,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/News_program
Estados Unidos,0.24732919254658398,0,63,18.7569,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/United_States
Canada,0.24608695652173912,0,54,0.7923,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Canada
Human Rights Watch,0.23068322981366457,2,5,2.38968,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Human_Rights_Watch
Outpatient,0.2057142857142858,5,22,0.7153,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Patient
Mexican,0.2048447204968944,2,39,0.919008,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Mexico
Health Care Services,0.20360248447204973,0,46,3.17114,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Health_care
US Senator,0.19751552795031047,0,33,0.7799,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/United_States_Senate
Oregon,0.18298136645962737,0,81,0.8138,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Oregon
