Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
BBC,0.45421203438395447,0,77,0.7924,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/BBC
Houston,0.4157020057306575,0,317,0.7682,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Houston
Hamas,0.33455587392550107,0,62,1.47911,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Hamas
USA,0.24991404011461335,0,130,1.24495,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/United_States
Italy,0.24108882521489952,3,85,1.25581,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Italy
Organization of the Petroleum Exporting Countries,0.2320916905444127,0,32,2.20404,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/OPEC
Extra Virgin Olive Oil,0.2297994269340973,3,85,1.71689,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Olive_oil
Greece,0.22767908309455573,3,78,1.11021,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Greece
Israel,0.21335243553008626,0,109,1.65263,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Israel
Palestinians,0.2025214899713467,0,51,0.8031,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Palestinian_people
Benjamin Netanyahu,0.18452722063037238,0,46,2.78887,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Benjamin_Netanyahu
Davis,0.17879656160458446,0,47,0.01358,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/University_of_California,_Davis
European Central Bank,0.1340974212034384,0,18,2.44432,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/European_Central_Bank
OLIVE,0.12790830945558737,8,19,0.7294,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Olive
Iran,0.12687679083094547,0,65,1.11936,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Iran
Syriza,0.12240687679083093,0,16,1.19273,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Coalition_of_the_Radical_Left
Saudi Arabia,0.11994269340974202,0,63,6.27525,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Saudi_Arabia
Spain,0.09793696275071637,1,36,0.827,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Spain
Bowen,0.0950143266475644,0,48,0.00133912,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Bowen,_Queensland
US dollar,0.09381088825214909,0,54,0.8242,http://nerd.eurecom.fr/ontology#Amount,http://dbpedia.org/resource/United_States_dollar
Russia,0.09300859598853875,0,39,1.17305,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Russia
Italian,0.08951289398280808,0,52,0.797,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Italian_cuisine
Whitney,0.08848137535816616,0,33,0.7264,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Whitney_Houston
Greek,0.08429799426934102,0,33,0.801,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Ancient_Greece
Communist China,0.08068767908309459,0,33,1.52994,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/China
United Kingdom,0.07352435530085966,0,36,1.06608,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/United_Kingdom
