Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
Raspberry Pi,0.7005494505494505,3,71,0.9022,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Raspberry_Pi
International Space Station,0.5631868131868132,5,43,1.5934,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/International_Space_Station
Astro,0.5412087912087912,1,59,0.7209,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Astrophysics
UK,0.31043956043956045,0,40,0.6664,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_Kingdom
ARRL,0.239010989010989,0,24,1.04793,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/American_Radio_Relay_League
sensor,0.2026098901098901,4,3,0.7351,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Sensor
Peake,0.1346153846153846,0,7,0.6814,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Timothy_Peake
visible,0.12087912087912088,1,2,0.6648,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Light
Pis,0.11126373626373626,0,4,0.0736126,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Law_and_Justice
Ham Radio,0.10576923076923077,0,54,3.63517,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Amateur_radio
BBC,0.09684065934065936,0,4,0.7763,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/BBC
European Space Agency,0.09684065934065934,0,11,3.67915,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/European_Space_Agency
STEM,0.07898351648351648,0,12,0.687,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/STEM_fields
United Kingdom,0.07760989010989011,0,10,1.10339,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/United_Kingdom
Foundation,0.07692307692307693,0,13,0.0943996,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Foundation_%28engineering%29
David Parker,0.07692307692307693,0,5,0.8191,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/David_Parker_(Australian_politician)
Scotland,0.06593406593406594,0,11,0.7978,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Scotland
observation,0.06456043956043957,1,3,0.0760526,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Observation
Dave,0.061813186813186816,0,2,0.0214436,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Dave_%28TV_channel%29
Tim,0.05837912087912088,0,7,0.0113389,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/The_Magic_School_Bus
Money,0.05631868131868132,0,11,0.6909,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Money
CW,0.05631868131868132,0,18,0.8303,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Continuous_wave
Glasgow City Council,0.052884615384615384,0,11,0.821,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Glasgow
SSB,0.048763736263736264,0,15,0.8353,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Single-sideband_modulation
Maryhill,0.04807692307692308,0,10,0.8499,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Maryhill
Earth,0.044642857142857144,0,7,0.6768,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Earth
England Wales,0.04120879120879121,0,8,0.7432,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/England_and_Wales
ISS as,0.040521978021978024,0,5,0.6606,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/ISS_A/S
Tad,0.03914835164835165,0,4,0.00423608,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Tad_%28band%29
Twitter,0.03708791208791209,0,7,0.8297,http://nerd.eurecom.fr/ontology#Product,http://dbpedia.org/resource/Twitter
Dxing,0.03571428571428571,0,22,1.06865,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/DXing
CEO,0.03502747252747253,0,4,0.6875,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Chief_executive_officer
Credit Union,0.03502747252747253,0,4,0.7683,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Credit_union
National Nuclear Laboratory,0.034340659340659344,0,4,0.8609,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/National_Nuclear_Laboratory
Digital,0.034340659340659344,0,14,0.6605,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Digital_television
Byres Road,0.03365384615384615,0,7,0.8616,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Byres_Road
Primary school,0.03296703296703297,0,2,0.6513,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Primary_school
HF,0.032280219780219783,0,26,0.7917,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/High_frequency
Competition,0.03159340659340659,0,4,0.07043,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Competition
QST,0.030906593406593408,0,9,0.833,http://nerd.eurecom.fr/ontology#Product,http://dbpedia.org/resource/QST
Chancellor,0.029532967032967032,0,3,0.0286418,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Chancellor_of_the_Exchequer
CGI,0.029532967032967032,0,3,0.7926,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Computer-generated_imagery
Measurements,0.028846153846153848,0,5,0.0749421,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Measurement
Eben Upton,0.028846153846153848,0,4,0.8716,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Eben_Upton
Lloyds TSB,0.028846153846153848,0,6,0.8639,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Lloyds_Bank
Small,0.028846153846153848,0,3,0.00511662,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Heather_Small
Persian,0.028846153846153848,0,7,0.777,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Persian_people
Challenge,0.028846153846153848,0,2,0.018673,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Challenge_%28TV_channel%29
Christmas,0.027472527472527472,0,4,0.200344,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Christmas
Satellite Imaging,0.026785714285714284,0,3,0.6439,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Satellite_imagery
