Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
Scotland,0.5870306038048027,1,1193,1.36842,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Scotland
United Kingdom of Great Britain and Northern Ireland,0.23778329197683992,0,502,33.8761,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/United_Kingdom
Holyrood Parliament,0.21677419354838656,0,132,4.01644,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Scottish_Parliament
Scottish Nationalist Party,0.20585607940446615,0,139,2.54211,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Scottish_National_Party
Alex Salmond,0.19460711331679034,0,191,2.91162,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Alex_Salmond
Parliament of the United Kingdom,0.18267990074441653,0,102,10.6739,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Parliament_of_the_United_Kingdom
Prime Minister David Cameron,0.16936311000827126,0,161,3.63574,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/David_Cameron
BBC,0.14506203473945412,0,96,1.02459,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/BBC
Labour Party,0.1288833746898263,0,82,1.14162,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Labour_Party_(UK)
Yes campaign,0.11042183622828788,1,72,0.163785,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Yes_Scotland
Conservative Party,0.08501240694789085,0,55,0.977936,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Conservative_Party_(UK)
England,0.06848635235732002,0,141,0.8543,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Kingdom_of_England
EDINBURGH SCOTLAND,0.047460711331679124,0,97,7.16541,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Edinburgh
Glasgow,0.037684036393713836,0,80,0.8433,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Glasgow
Scottish nationalists,0.0350537634408602,0,76,2.02497,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Scottish_independence
Lib Dems,0.03359801488833747,0,22,3.92997,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Liberal_Democrats
EU,0.031612903225806455,0,67,0.7395,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Europe
Nicola Sturgeon,0.031298593879239035,0,32,1.81383,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Nicola_Sturgeon
Queen Elizabeth II,0.030901571546732832,0,31,6.29673,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Elizabeth_II
London,0.030818858560794065,0,68,0.7557,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/London
Scottish independence referendum 2014,0.030190239867659233,0,59,1.85173,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Scottish_independence_referendum,_2014
ABERDEENSHIRE,0.029826302729528572,0,57,0.926,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Aberdeenshire
