CATEGORY, ID, TITLE, URL, MONTH, DURATION, ASSIGNEE, TRANSCRIBED,BANNER,ANNOTATED,EXPANDED,POPULARITY,ENTITYCANDIDATES,INSURVEY
Business, oilArctic, Oil exploration of the Arctic region is slowing down, http://www.bbc.com/news/business-31850688, 12 March 2015, 02:20, Raphael,YES,YES,YES,YES,YES, NO, NO
Business, ZimbabweCoins, Consumers sceptical over new Zimbabwe 'bond coins', http://www.bbc.com/news/business-31871937, 13 March 2015, 03:07, Raphael,YES,YES,YES,YES,YES, NO, NO
Business, HSBCtax, HSBC bank 'helped clients dodge millions in tax, http://www.bbc.com/news/business-31259214, 9 February 2015, 03:14, Lilia,YES,YES,YES,YES,YES, NO, NO
Politics, flightsUkraine, Ukraine: Moscow threatens to ban EU flights over Russia, http://www.bbc.com/news/world-europe-29106766, 8 September 2014, 01:50, Jose Luis,YES,YES,YES,YES,YES, NO, NO
Politics, CIAreport, International condemnation over CIA interrogation report, http://www.bbc.com/news/world-us-canada-30425572, 10 December 2014, 02:30, Lilia,YES,YES,YES,YES,YES, NO, NO
Politics, scottishReferendum, Scottish referendum: Scotland votes no to independence, http://www.bbc.com/news/uk-29271333, 19 September 2014, 01:22, Jose Luis,YES,YES,YES,YES,YES, NO, NO
Health, ebolaOutbreak, Ebola outbreak: Sierra Leone vice-president quarantined, http://www.bbc.com/news/world-africa-31679470, 28 February 2015, 02:48, Lilia,YES,YES,YES,YES,YES, NO, NO
Health, bloodScanner, Mobile scanner detects disease from a drop of blood, http://www.bbc.com/news/technology-31541616, 20 February 2015 , 01:39, Giuseppe ,YES,YES,YES,YES,YES, NO, NO
Health, illMexico, Helping Mexico's terminally ill to 'live well', http://www.bbc.com/news/health-31647273, 28 February 2015, 03:03, Lilia,YES,YES,YES,YES,YES, NO, NO
Science&Environment, olivesDisaster, The 'disaster' hitting olives and their oil, http://www.bbc.com/news/world-europe-30366406, 7 December 2014, 01:53, Jose Luis,YES,YES,YES,YES,YES, NO, NO
Science&Environment, climateRelief, UN climate talks: 'Sense of relief' after deal reached, http://www.bbc.com/news/science-environment-30468299, 14 December 2014, 01:36, Jose Luis ,YES,YES,YES,YES,YES, NO, NO
Science&Environment, rocketNasa, Nasa tests enormous rocket booster in Utah desert, http://www.bbc.com/news/science-environment-31840094, 11 March 2015, 02:33, Raphael,YES,YES,YES,YES,YES, NO, NO
Technology, piChallenge, Astronaut Tim Peake invites Raspberry Pi challenge, http://www.bbc.com/news/technology-30415207, 10 December 2014, 01:03, Giuseppe,YES,YES,YES,YES,YES, NO, NO
Technology, infraredMicrowave, The microwave that shows you when your food is cooked, http://www.bbc.com/news/technology-31747912, 9 March 2015, 01:09, Giuseppe,YES,YES,YES,YES,YES, NO, NO
Technology, AppleWatch, Apple Watch: Will anyone want one?, http://www.bbc.com/news/technology-31808628, 9 March 2015, 02:19, Jose Luis,YES,YES,YES,YES,YES, NO, NO
Entertainment, HawkingFilm, Hawking film premiere: 'At times I thought he was me, http://www.bbc.com/news/entertainment-arts-30402279, 9 December 2014, 02:30, Jose Luis,YES,YES,YES,YES,YES, NO, NO
Entertainment, AidEbola, Band Aid releases single to fight Ebola crisis, http://www.bbc.com/news/entertainment-arts-29986916, 10 November 2014, 02:35, Jose Luis,YES,YES,YES,YES,YES, NO, NO
Entertainment, paintingStuartLittle, Lost painting auctioned after discovery in Stuart Little film, http://www.bbc.com/news/entertainment-arts-30467820, 14 December 2014, 01:30, Jose Luis ,YES,YES,YES,YES,YES, NO, NO
